region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,mortality_rate
China,81054,46,3261,6,72440,5353,1845,56.0,4.02
Italy,59138,5560,5476,651,7024,46638,3000,978.0,9.26
USA,38757,14550,400,98,178,38179,795,117.0,1.03
Spain,28603,3107,1756,375,2125,24722,1785,612.0,6.14
Germany,24806,2442,93,9,266,24447,2,296.0,0.37
Iran,21638,1028,1685,129,7635,12318,0,258.0,7.79
France,16018,1559,674,112,2200,13144,1746,245.0,4.21
S_Korea,8897,98,104,2,2909,5884,59,174.0,1.17
Switzerland,7474,611,98,18,131,7245,141,864.0,1.31
UK,5683,665,281,48,93,5309,20,84.0,4.94
Netherlands,4204,573,179,43,2,4023,354,245.0,4.26
Belgium,3401,586,75,8,263,3063,288,293.0,2.21
Austria,3302,310,16,8,9,3277,15,367.0,0.48
Norway,2263,99,7,0,6,2250,28,417.0,0.31
Sweden,1931,161,21,1,16,1894,68,191.0,1.09
Portugal,1600,320,14,2,5,1581,26,157.0,0.88
Canada,1426,98,20,1,14,1392,1,38.0,1.4
Denmark,1395,69,13,0,1,1381,42,241.0,0.93
Australia,1353,281,7,0,46,1300,2,53.0,0.52
Malaysia,1306,123,10,2,139,1157,26,40.0,0.77
Brazil,1209,31,18,0,2,1189,18,6.0,1.49
Czechia,1120,125,0,0,6,1114,19,105.0,0.0
Japan,1086,32,36,0,235,815,57,9.0,3.31
Turkey,947,0,21,0,0,926,0,11.0,2.22
Israel,945,62,1,0,37,907,20,109.0,0.11
Ireland,906,121,4,1,5,897,29,183.0,0.44
Luxembourg,798,128,8,0,6,784,3,1275.0,1.0
Ecuador,789,257,14,7,3,772,2,45.0,1.77
Diamond_Princess,712,0,8,0,567,137,15,0.0,1.12
Pakistan,646,1,4,1,13,629,0,3.0,0.62
Chile,632,95,1,0,8,623,7,33.0,0.16
Poland,627,91,7,2,13,607,3,17.0,1.12
Finland,626,103,1,0,10,615,12,113.0,0.16
Greece,624,94,15,2,19,590,18,60.0,2.4
Thailand,599,188,1,0,44,554,7,9.0,0.17
Iceland,568,95,1,0,5,562,1,1665.0,0.18
Indonesia,514,64,48,10,29,437,0,2.0,9.34
Saudi_Arabia,511,119,0,0,17,494,0,15.0,0.0
Qatar,481,0,0,0,27,454,6,167.0,0.0
Singapore,455,23,2,0,144,309,14,78.0,0.44
Romania,433,66,2,2,64,367,14,23.0,0.46
Slovenia,414,31,2,1,0,412,12,199.0,0.48
India,396,64,7,2,24,365,0,0.3,1.77
Philippines,380,73,25,6,15,340,1,3.0,6.58
Russia,367,61,1,0,16,350,0,3.0,0.27
Peru,363,45,5,0,1,357,5,11.0,1.38
Bahrain,332,22,2,1,149,181,4,195.0,0.6
Estonia,326,20,0,0,4,322,2,246.0,0.0
Hong_Kong,317,43,4,0,100,213,4,42.0,1.26
Egypt,294,0,10,0,42,242,0,3.0,3.4
South_Africa,274,34,0,0,2,272,0,5.0,0.0
Croatia,254,48,1,0,5,248,5,62.0,0.39
Mexico,251,48,2,0,4,245,1,2.0,0.8
Lebanon,248,18,4,0,8,236,4,36.0,1.61
Panama,245,0,3,0,1,241,7,57.0,1.22
Iraq,233,19,20,3,57,156,0,6.0,8.58
Colombia,231,35,2,2,3,226,0,5.0,0.87
Argentina,225,67,4,0,27,194,0,5.0,1.78
Serbia,222,51,2,1,2,218,4,25.0,0.9
Dominican_Republic,202,90,3,0,0,199,0,19.0,1.49
Algeria,201,62,17,2,65,119,0,5.0,8.46
Armenia,194,34,0,0,2,192,6,65.0,0.0
Kuwait,188,12,0,0,27,161,5,44.0,0.0
Bulgaria,185,22,3,0,3,179,3,27.0,1.62
Slovakia,185,7,0,0,7,178,2,34.0,0.0
San_Marino,175,15,20,0,4,151,13,5158.0,11.43
Taiwan,169,16,2,0,28,139,0,7.0,1.18
UAE,153,0,2,0,38,113,2,15.0,1.31
Latvia,139,15,0,0,1,138,0,74.0,0.0
Uruguay,135,25,0,0,0,135,2,39.0,0.0
Hungary,131,28,6,2,16,109,6,14.0,4.58
Lithuania,129,30,1,0,1,127,1,47.0,0.78
Costa_Rica,117,0,2,0,2,113,2,23.0,1.71
North_Macedonia,115,30,1,1,1,113,1,55.0,0.87
Faeroe_Islands,115,23,0,0,3,112,0,2354.0,0.0
Andorra,113,25,1,1,1,111,2,1462.0,0.88
Vietnam,113,19,0,0,17,96,2,1.0,0.0
Jordan,112,12,0,0,1,111,0,11.0,0.0
Morocco,109,13,3,0,3,103,1,3.0,2.75
Cyprus,95,11,1,0,3,91,3,79.0,1.05
Bosnia_and_Herzegovina,94,1,1,0,2,91,1,29.0,1.06
Moldova,94,14,1,0,1,92,3,23.0,1.06
Malta,90,17,0,0,2,88,1,204.0,0.0
Albania,89,13,2,0,2,85,2,31.0,2.25
Brunei,88,5,0,0,2,86,2,201.0,0.0
Cambodia,84,31,0,0,2,82,0,5.0,0.0
Sri_Lanka,82,5,0,0,3,79,2,4.0,0.0
Belarus,76,0,0,0,15,61,0,8.0,0.0
Burkina_Faso,75,11,4,1,5,66,0,4.0,5.33
Tunisia,75,15,3,2,1,71,7,6.0,4.0
Venezuela,70,0,0,0,15,55,2,2.0,0.0
New_Zealand,66,14,0,0,0,66,0,14.0,0.0
Azerbaijan,65,12,1,0,11,53,0,6.0,1.54
Kazakhstan,59,5,0,0,0,59,0,3.0,0.0
Palestine,59,6,0,0,17,42,0,12.0,0.0
Guadeloupe,56,0,1,0,0,55,4,140.0,1.79
Senegal,56,0,0,0,5,51,0,3.0,0.0
Oman,55,3,0,0,17,38,0,11.0,0.0
Georgia,54,5,0,0,1,53,1,14.0,0.0
Trinidad_and_Tobago,50,1,0,0,0,50,0,36.0,0.0
Ukraine,47,0,3,0,1,43,0,1.0,6.38
Réunion,47,0,0,0,1,46,0,52.0,0.0
Uzbekistan,43,2,0,0,0,43,0,1.0,0.0
Cameroon,40,0,0,0,2,38,0,2.0,0.0
Martinique,37,0,1,0,0,36,7,99.0,2.7
Liechtenstein,37,0,0,0,0,37,0,970.0,0.0
Cuba,35,14,1,0,0,34,0,3.0,2.86
Afghanistan,34,10,1,1,1,32,0,0.9,2.94
Channel_Islands,32,0,0,0,0,32,0,184.0,0.0
DRC,30,7,1,0,0,29,0,0.3,3.33
Nigeria,30,8,0,0,2,28,0,0.1,0.0
Bangladesh,27,3,2,0,3,22,0,0.2,7.41
Guam,27,12,1,1,0,26,0,160.0,3.7
Honduras,26,2,0,0,0,26,0,3.0,0.0
Mauritius,24,10,2,1,0,22,1,19.0,8.33
Bolivia,24,5,0,0,0,24,0,2.0,0.0
Puerto_Rico,23,2,1,0,0,22,0,8.0,4.35
Paraguay,22,0,1,0,0,21,1,3.0,4.55
Macao,22,3,0,0,10,12,0,34.0,0.0
Ghana,21,0,1,0,0,20,0,0.7,4.76
Jamaica,19,0,1,0,2,16,0,6.0,5.26
Guyana,18,0,1,0,0,17,0,23.0,5.56
Monaco,18,0,0,0,1,17,0,459.0,0.0
French_Guiana,18,0,0,0,0,18,0,60.0,0.0
Guatemala,17,0,1,0,0,16,0,0.9,5.88
Rwanda,17,0,0,0,0,17,0,1.0,0.0
Montenegro,16,0,0,0,0,16,0,25.0,0.0
Togo,16,0,0,0,0,16,0,2.0,0.0
French_Polynesia,15,0,0,0,0,15,0,53.0,0.0
Gibraltar,15,5,0,0,2,13,0,445.0,0.0
Kenya,15,8,0,0,0,15,0,0.3,0.0
Barbados,14,0,0,0,0,14,0,49.0,0.0
Ivory_Coast,14,0,0,0,1,13,0,0.5,0.0
Kyrgyzstan,14,0,0,0,0,14,0,2.0,0.0
