region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,total_deaths_per_million,mortality_rate
World,1182830,66187,63925,4755,244232,874673,41965,152.0,8.2,5.4
USA,301147,23986,8173,769,14518,278456,7973,910.0,25.0,2.71
Spain,124736,5537,11744,546,34219,78773,6416,2668.0,251.0,9.42
Italy,124632,4805,15362,681,20996,88274,3994,2061.0,254.0,12.33
Germany,92150,991,1330,55,26400,64420,3936,1100.0,16.0,1.44
France,89953,7788,7560,1053,15438,66955,6838,1378.0,116.0,8.4
Iran,55743,2560,3452,158,19736,32555,4103,664.0,41.0,6.19
UK,41903,3735,4313,708,135,37455,163,617.0,64.0,10.29
Turkey,23934,3013,501,76,786,22647,1311,284.0,6.0,2.09
Switzerland,20278,672,641,50,4846,14791,391,2343.0,74.0,3.16
Belgium,18431,1661,1283,140,3247,13901,1245,1590.0,111.0,6.96
Netherlands,16627,904,1651,164,250,14726,1360,970.0,96.0,9.93
Canada,13860,1485,228,20,2559,11073,120,367.0,6.0,1.65
Austria,11781,257,186,18,2507,9088,245,1308.0,21.0,1.58
Portugal,10524,638,266,20,75,10183,251,1032.0,26.0,2.53
S_Korea,10156,94,177,3,6325,3654,55,198.0,3.0,1.74
Brazil,9391,197,376,13,127,8888,296,44.0,2.0,4.0
Israel,7851,423,44,4,427,7380,115,907.0,5.0,0.56
Sweden,6443,312,373,15,205,5865,379,638.0,37.0,5.79
Norway,5550,180,62,3,32,5456,98,1024.0,11.0,1.12
Australia,5550,96,30,2,585,4935,85,218.0,1.0,0.54
Russia,4731,582,43,9,333,4355,8,32.0,0.3,0.91
Ireland,4604,331,137,17,25,4442,148,932.0,28.0,2.98
Czechia,4362,172,59,6,78,4225,87,407.0,6.0,1.35
Chile,4161,424,27,5,528,3606,38,218.0,1.0,0.65
Denmark,4077,320,161,22,1283,2633,142,704.0,28.0,3.95
Poland,3627,244,79,8,116,3432,50,96.0,2.0,2.18
Romania,3613,430,146,13,329,3138,119,188.0,8.0,4.04
Malaysia,3483,150,57,4,915,2511,99,108.0,2.0,1.64
Ecuador,3465,97,172,27,65,3228,100,196.0,10.0,4.96
