region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,total_deaths_per_million,mortality_rate
USA,135957,12379,2391,171,4378,129188,2948,411.0,7.0,1.76
Italy,97689,5217,10779,756,13030,73880,3906,1616.0,178.0,11.03
Spain,78799,5564,6606,624,14709,57484,4165,1685.0,141.0,8.38
Germany,61164,3469,490,57,9211,51463,1979,730.0,6.0,0.8
France,40174,2599,2606,292,7202,30366,4632,615.0,40.0,6.49
Iran,38309,2901,2640,123,12391,23278,3206,456.0,31.0,6.89
UK,19522,2433,1228,209,135,18159,163,288.0,18.0,6.29
Switzerland,14829,753,300,36,1595,12934,301,1713.0,35.0,2.02
Netherlands,10866,1104,771,132,250,9845,972,634.0,45.0,7.1
Belgium,10836,1702,431,78,1359,9046,867,935.0,37.0,3.98
S_Korea,9583,105,152,8,5033,4398,59,187.0,3.0,1.59
Turkey,9217,1815,131,23,105,8981,568,109.0,2.0,1.42
Austria,8743,472,86,18,479,8178,187,971.0,10.0,0.98
Canada,6258,603,63,3,508,5687,120,166.0,2.0,1.01
Portugal,5962,792,119,19,43,5800,89,585.0,12.0,2.0
Norway,4264,249,25,2,7,4232,91,787.0,5.0,0.59
Israel,4247,628,15,3,132,4100,74,491.0,2.0,0.35
Brazil,4065,161,118,4,6,3941,296,19.0,0.6,2.9
Australia,3980,345,16,2,226,3738,23,156.0,0.6,0.4
Sweden,3700,253,110,5,16,3574,255,366.0,11.0,2.97
Czechia,2743,112,16,5,11,2716,45,256.0,1.0,0.58
Ireland,2615,200,46,10,5,2564,59,530.0,9.0,1.76
Malaysia,2470,150,35,8,388,2047,73,76.0,1.0,1.42
Denmark,2395,194,72,7,1,2322,113,413.0,12.0,3.01
Chile,2139,230,7,1,75,2057,7,112.0,0.4,0.33
Luxembourg,1950,119,21,3,40,1889,25,3115.0,34.0,1.08
Ecuador,1890,67,57,9,3,1830,58,107.0,3.0,3.02
Japan,1866,173,54,2,424,1388,56,15.0,0.4,2.89
Poland,1862,224,22,4,7,1833,3,49.0,0.6,1.18
Romania,1760,308,43,6,206,1511,31,91.0,2.0,2.44
Pakistan,1571,76,14,2,29,1528,11,7.0,0.06,0.89
Russia,1534,270,8,4,64,1462,8,11.0,0.05,0.52
Philippines,1418,343,71,3,42,1305,1,13.0,0.6,5.01
Thailand,1388,143,7,1,97,1284,11,20.0,0.1,0.5
Saudi_Arabia,1299,96,8,4,66,1225,12,37.0,0.2,0.62
Indonesia,1285,130,114,12,64,1107,0,5.0,0.4,8.87
South_Africa,1280,93,2,1,31,1247,7,22.0,0.03,0.16
Finland,1240,73,11,2,10,1219,32,224.0,2.0,0.89
Greece,1156,95,38,6,52,1066,66,111.0,4.0,3.29
India,1024,37,27,3,95,902,0,0.7,0.02,2.64
Iceland,1020,57,2,0,114,904,19,2989.0,6.0,0.2
Panama,901,0,17,0,4,880,32,209.0,4.0,1.89
Dominican_Republic,859,140,39,11,3,817,0,79.0,4.0,4.54
Peru,852,181,18,2,16,818,40,26.0,0.5,2.11
Mexico,848,131,16,4,4,828,1,7.0,0.1,1.89
Singapore,844,42,3,1,212,629,19,144.0,0.5,0.36
Argentina,745,0,19,0,72,654,0,16.0,0.4,2.55
Serbia,741,82,13,3,42,686,25,85.0,1.0,1.75
Slovenia,730,46,11,2,10,709,23,351.0,5.0,1.51
Croatia,713,56,6,1,52,655,26,174.0,1.0,0.84
Diamond_Princess,712,0,10,0,597,105,15,0.0,0.0,1.4
Estonia,679,34,3,2,20,656,10,512.0,2.0,0.44
Hong_Kong,641,81,4,0,118,519,5,86.0,0.5,0.62
Qatar,634,44,1,0,48,585,6,220.0,0.3,0.16
Egypt,609,33,40,4,132,437,0,6.0,0.4,6.57
Colombia,608,0,6,0,10,592,0,12.0,0.1,0.99
UAE,570,102,3,1,58,509,2,58.0,0.3,0.53
Iraq,547,41,42,0,143,362,0,14.0,1.0,7.68
New_Zealand,514,0,1,0,56,457,1,107.0,0.2,0.19
Algeria,511,57,31,2,31,449,0,12.0,0.7,6.07
Bahrain,499,23,4,0,272,223,1,293.0,2.0,0.8
Morocco,463,61,26,1,13,424,1,13.0,0.7,5.62
Lithuania,460,66,7,0,1,452,2,169.0,3.0,1.52
Lebanon,438,26,10,2,30,398,4,64.0,1.0,2.28
Armenia,424,17,3,2,30,391,6,143.0,1.0,0.71
Ukraine,418,62,9,0,5,404,0,10.0,0.2,2.15
Hungary,408,65,13,2,34,361,6,42.0,1.0,3.19
Latvia,347,42,0,0,1,346,3,184.0,0.0,0.0
Bulgaria,346,15,8,1,14,324,8,50.0,1.0,2.31
Andorra,334,26,6,3,1,327,10,4323.0,78.0,1.8
Bosnia_and_Herzegovina,323,45,6,0,8,309,1,98.0,2.0,1.86
Slovakia,314,22,0,0,2,312,1,58.0,0.0,0.0
Tunisia,312,34,8,0,2,302,10,26.0,0.7,2.56
Uruguay,304,0,1,0,0,303,9,88.0,0.3,0.33
Taiwan,298,15,2,0,39,257,0,13.0,0.08,0.67
Costa_Rica,295,0,2,0,3,290,6,58.0,0.4,0.68
Kazakhstan,284,56,1,0,20,263,0,15.0,0.05,0.35
Moldova,263,32,2,0,2,259,33,65.0,0.5,0.76
North_Macedonia,259,18,6,2,3,250,1,124.0,3.0,2.32
