region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,total_deaths_per_million,mortality_rate
USA,207157,18627,4606,553,8762,193789,4912,626.0,14.0,2.22
Italy,110574,4782,13155,727,16847,80572,4035,1829.0,218.0,11.9
Spain,102136,6213,9053,589,22647,70436,5872,2185.0,194.0,8.86
Germany,76544,4736,858,83,18700,56986,3405,914.0,10.0,1.12
France,56989,4861,4032,509,10934,42023,5565,873.0,62.0,7.08
Iran,47593,2988,3036,138,15473,29084,3871,567.0,36.0,6.38
UK,29474,4324,2352,563,135,26987,163,434.0,35.0,7.98
Switzerland,17137,532,461,28,2967,13709,348,1980.0,53.0,2.69
Turkey,15679,2148,277,63,333,15069,847,186.0,3.0,1.77
Belgium,13964,1189,828,123,2132,11004,1088,1205.0,71.0,5.93
Netherlands,13614,1019,1173,134,250,12191,1053,795.0,68.0,8.62
Austria,10663,483,146,18,1436,9081,215,1184.0,16.0,1.37
S_Korea,9887,101,165,3,5567,4155,55,193.0,3.0,1.67
Canada,9489,877,108,7,1445,7936,120,251.0,3.0,1.14
Portugal,8251,808,187,27,43,8021,230,809.0,18.0,2.27
Brazil,5923,206,206,5,127,5590,296,28.0,1.0,3.48
Israel,5591,233,25,5,226,5340,97,646.0,3.0,0.45
Sweden,4947,512,239,59,16,4692,393,490.0,24.0,4.83
Australia,4864,101,21,1,345,4498,50,191.0,0.8,0.43
Norway,4828,187,44,5,13,4771,105,891.0,8.0,0.91
Czechia,3508,200,39,8,61,3408,70,328.0,4.0,1.11
Ireland,3447,212,85,14,5,3357,103,698.0,17.0,2.47
Denmark,3107,247,104,14,894,2109,145,536.0,18.0,3.35
Chile,3031,293,16,4,234,2781,31,159.0,0.8,0.53
Malaysia,2908,142,45,2,645,2218,102,90.0,1.0,1.55
Russia,2777,440,24,7,190,2563,8,19.0,0.2,0.86
Ecuador,2748,446,93,14,58,2597,100,156.0,5.0,3.38
Romania,2460,215,92,10,252,2116,57,128.0,5.0,3.74
Poland,2420,109,36,3,7,2377,50,64.0,1.0,1.49
Luxembourg,2319,141,29,6,80,2210,31,3705.0,46.0,1.25
Philippines,2311,227,96,8,50,2165,1,21.0,0.9,4.15
Japan,2178,0,57,0,472,1649,69,17.0,0.5,2.62
