region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,mortality_rate
China,81171,78,3277,7,73159,4735,1573,56.0,4.04
Italy,63927,0,6077,0,7432,50418,3204,1057.0,9.51
USA,46145,2411,582,29,295,45268,1040,139.0,1.26
Spain,35136,0,2311,0,3355,29470,2355,751.0,6.58
Germany,29056,0,123,0,453,28480,23,347.0,0.42
Iran,23049,0,1812,0,8376,12861,0,274.0,7.86
France,19856,0,860,0,2200,16796,2082,304.0,4.33
S_Korea,9037,76,120,9,3507,5410,59,176.0,1.33
Switzerland,8795,0,120,0,131,8544,141,1016.0,1.36
UK,6650,0,335,0,135,6180,20,98.0,5.04
Netherlands,4749,0,213,0,2,4534,435,277.0,4.49
Austria,4474,0,21,0,9,4444,14,497.0,0.47
Belgium,3743,0,88,0,401,3254,322,323.0,2.35
Norway,2625,0,10,0,6,2609,41,484.0,0.38
Canada,2091,0,24,0,320,1747,1,55.0,1.15
Portugal,2060,0,23,0,14,2023,47,202.0,1.12
Sweden,2046,0,27,0,16,2003,104,203.0,1.32
Australia,1973,86,8,1,118,1847,11,77.0,0.41
Brazil,1924,0,34,0,2,1888,18,9.0,1.77
Turkey,1529,0,37,0,0,1492,0,18.0,2.42
Malaysia,1518,0,14,0,159,1345,57,47.0,0.92
Denmark,1460,0,24,0,1,1435,55,252.0,1.64
Israel,1442,0,1,0,41,1400,29,167.0,0.07
Czechia,1236,0,1,0,7,1228,19,115.0,0.08
Japan,1128,0,42,0,235,851,49,9.0,3.72
Ireland,1125,0,6,0,5,1114,29,228.0,0.53
Ecuador,981,0,18,0,3,960,2,56.0,1.83
Luxembourg,875,0,8,0,6,861,3,1398.0,0.91
Pakistan,875,0,6,0,13,856,0,4.0,0.69
Thailand,827,106,4,3,52,771,7,12.0,0.48
Poland,749,0,8,0,13,728,3,20.0,1.07
Chile,746,0,2,0,11,733,7,39.0,0.27
Diamond_Princess,712,0,8,0,567,137,15,0.0,1.12
Finland,700,0,1,0,10,689,13,126.0,0.14
Greece,695,0,17,0,29,649,35,67.0,2.45
Iceland,588,0,1,0,51,536,14,1723.0,0.17
Indonesia,579,0,49,0,30,500,0,2.0,8.46
Romania,576,0,7,0,73,496,15,30.0,1.22
Saudi_Arabia,562,0,0,0,19,543,0,16.0,0.0
India,511,12,10,0,37,464,0,0.4,1.96
Singapore,509,0,2,0,152,355,14,87.0,0.39
Philippines,501,39,33,0,19,449,1,5.0,6.59
Qatar,501,0,0,0,33,468,6,174.0,0.0
Slovenia,442,0,3,0,0,439,12,213.0,0.68
Russia,438,0,1,0,17,420,0,3.0,0.23
South_Africa,402,0,0,0,4,398,0,7.0,0.0
Peru,395,0,5,0,1,389,19,12.0,1.27
Bahrain,377,0,2,0,164,211,3,222.0,0.53
Mexico,367,51,4,1,4,359,1,3.0,1.09
