region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,mortality_rate
China,80880,36,3213,14,67819,9848,3226,56.2,3.97
Italy,27980,3233,2158,349,2749,23073,1851,462.8,7.71
Iran,14991,1053,853,129,4590,9548,0,178.5,5.69
Spain,9428,1440,335,41,530,8563,272,201.6,3.55
S_Korea,8236,74,75,0,1137,7024,59,160.6,0.91
Germany,7241,1428,15,2,65,7161,2,86.4,0.21
France,5423,0,127,0,12,5284,400,83.1,2.34
USA,4186,506,73,5,73,4040,12,12.6,1.74
Switzerland,2353,136,19,5,4,2330,0,271.9,0.81
UK,1543,152,53,18,20,1470,20,22.7,3.43
Netherlands,1413,278,24,4,2,1387,45,82.5,1.7
Norway,1323,67,3,0,1,1319,27,244.0,0.23
Sweden,1119,79,7,4,1,1111,2,110.8,0.63
Belgium,1058,172,10,6,1,1047,33,91.3,0.95
Austria,1018,158,3,2,8,1007,12,113.0,0.29
Denmark,914,50,4,2,1,909,10,157.8,0.44
Japan,895,56,27,3,144,724,41,7.1,3.02
Diamond_Princess,696,0,7,0,456,233,15,0.0,1.01
Malaysia,566,138,0,0,42,524,9,17.5,0.0
Qatar,439,38,0,0,4,435,0,152.4,0.0
Canada,376,35,4,3,11,361,1,10.0,1.06
Australia,375,75,5,0,27,343,1,14.7,1.33
Greece,352,21,4,0,8,340,5,33.8,1.14
Czechia,344,51,0,0,3,341,2,32.1,0.0
Portugal,331,86,1,1,3,327,18,32.5,0.3
Finland,278,34,0,0,10,268,1,50.2,0.0
Israel,277,64,0,0,4,273,4,32.0,0.0
Slovenia,253,34,1,0,0,252,3,121.7,0.4
Singapore,243,17,0,0,109,134,11,41.5,0.0
Bahrain,227,13,1,1,77,149,1,133.4,0.44
Estonia,205,34,0,0,1,204,0,154.5,0.0
Brazil,203,3,0,0,2,201,2,1.0,0.0
Iceland,192,12,0,0,0,192,1,0.0,0.0
Pakistan,179,126,1,1,2,176,0,0.8,0.56
Ireland,170,0,2,0,5,163,6,34.4,1.18
Romania,168,29,0,0,9,159,2,8.7,0.0
Poland,156,31,3,0,0,153,3,4.1,1.92
Hong_Kong,155,6,4,0,81,70,4,20.7,2.58
