region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,total_deaths_per_million,mortality_rate
Oman,109,10,0,0,23,86,0,21.0,0.0,0.0
Sri_Lanka,106,4,0,0,7,99,3,5.0,0.0,0.0
Venezuela,106,0,0,0,15,91,2,4.0,0.0,0.0
Senegal,105,6,0,0,9,96,0,6.0,0.0,0.0
Cambodia,96,0,0,0,10,86,1,6.0,0.0,0.0
Afghanistan,94,10,2,0,2,90,0,2.0,0.05,2.13
Belarus,86,0,0,0,29,57,2,9.0,0.0,0.0
Palestine,84,13,1,0,17,66,0,16.0,0.2,1.19
Mauritius,81,33,2,0,0,79,1,64.0,2.0,2.47
Ivory_Coast,80,0,0,0,3,77,0,3.0,0.0,0.0
Georgia,79,4,0,0,10,69,1,20.0,0.0,0.0
Cameroon,75,0,1,0,2,72,0,3.0,0.04,1.33
Guadeloupe,73,0,1,0,0,72,4,182.0,2.0,1.37
Montenegro,69,16,1,0,0,68,1,110.0,2.0,1.45
Cuba,67,10,1,0,1,65,2,6.0,0.09,1.49
Martinique,66,0,1,0,0,65,7,176.0,3.0,1.52
Uzbekistan,65,5,0,0,0,65,4,2.0,0.0,0.0
Trinidad_and_Tobago,61,1,1,0,0,60,0,44.0,0.7,1.64
Honduras,52,0,1,1,0,51,0,5.0,0.1,1.92
DRC,51,3,3,1,0,48,0,0.6,0.03,5.88
Nigeria,51,0,1,0,2,48,0,0.2,0.0,1.96
Liechtenstein,51,0,0,0,0,51,0,1338.0,0.0,0.0
Channel_Islands,46,0,1,1,0,45,0,265.0,6.0,2.17
Bangladesh,44,5,5,0,11,28,1,0.3,0.03,11.36
Kyrgyzstan,44,0,0,0,0,44,0,7.0,0.0,0.0
Paraguay,41,4,3,0,0,38,1,6.0,0.4,7.32
Rwanda,41,0,0,0,0,41,0,3.0,0.0,0.0
Bolivia,40,8,0,0,0,40,0,3.0,0.0,0.0
Mayotte,36,0,0,0,0,36,0,132.0,0.0,0.0
Kenya,31,3,1,1,1,29,0,0.6,0.02,3.23
Macao,31,0,0,0,10,21,0,48.0,0.0,0.0
Monaco,31,0,0,0,1,30,0,790.0,0.0,0.0
French_Guiana,28,0,0,0,6,22,0,94.0,0.0,0.0
Jamaica,26,0,1,0,2,23,0,9.0,0.3,3.85
Gibraltar,26,0,0,0,5,21,0,772.0,0.0,0.0
French_Polynesia,25,0,0,0,0,25,0,89.0,0.0,0.0
Isle_of_Man,25,2,0,0,0,25,0,294.0,0.0,0.0
Guatemala,24,0,1,0,4,19,0,1.0,0.06,4.17
Madagascar,23,4,0,0,0,23,0,0.8,0.0,0.0
Togo,23,0,0,0,1,22,0,3.0,0.0,0.0
Aruba,19,0,0,0,1,18,0,178.0,0.0,0.0
Barbados,18,0,0,0,0,18,0,63.0,0.0,0.0
Zambia,16,4,0,0,0,16,0,0.9,0.0,0.0
New_Caledonia,14,0,0,0,0,14,0,49.0,0.0,0.0
Uganda,14,0,0,0,0,14,0,0.3,0.0,0.0
El_Salvador,13,4,0,0,0,13,0,2.0,0.0,0.0
Maldives,13,0,0,0,8,5,0,24.0,0.0,0.0
Tanzania,13,0,0,0,0,13,0,0.2,0.0,0.0
Ethiopia,12,0,0,0,0,12,0,0.1,0.0,0.0
Djibouti,11,0,0,0,0,11,0,11.0,0.0,0.0
Dominica,11,0,0,0,0,11,0,153.0,0.0,0.0
Mongolia,11,1,0,0,0,11,0,3.0,0.0,0.0
Saint_Martin,11,0,0,0,0,11,0,284.0,0.0,0.0
Equatorial_Guinea,9,0,0,0,0,9,0,6.0,0.0,0.0
Cayman_Islands,8,0,1,0,0,7,0,122.0,15.0,12.5
Haiti,8,0,0,0,0,8,0,0.7,0.0,0.0
Suriname,8,0,0,0,0,8,0,14.0,0.0,0.0
Gabon,7,1,1,0,0,6,0,3.0,0.4,14.29
Niger,7,0,1,0,0,6,0,0.3,0.04,14.29
Bermuda,7,0,0,0,2,5,0,112.0,0.0,0.0
Namibia,7,0,0,0,2,5,0,3.0,0.0,0.0
Seychelles,7,0,0,0,0,7,0,71.0,0.0,0.0
Curaçao,6,0,1,0,2,3,0,37.0,6.0,16.67
Benin,6,0,0,0,0,6,0,0.5,0.0,0.0
Greenland,6,0,0,0,2,4,0,106.0,0.0,0.0
Laos,6,3,0,0,0,6,0,0.8,0.0,0.0
Guyana,5,0,1,0,0,4,0,6.0,1.0,20.0
Bahamas,5,0,0,0,1,4,0,13.0,0.0,0.0
Fiji,5,0,0,0,0,5,0,6.0,0.0,0.0
Mozambique,5,0,0,0,0,5,0,0.2,0.0,0.0
Syria,5,0,0,0,0,5,0,0.3,0.0,0.0
Cabo_Verde,4,0,1,0,0,3,0,7.0,2.0,25.0
Congo,4,0,0,0,0,4,0,0.7,0.0,0.0
Eritrea,4,0,0,0,0,4,0,1.0,0.0,0.0
Guinea,4,0,0,0,0,4,0,0.3,0.0,0.0
Vatican_City,4,0,0,0,0,4,0,4994.0,0.0,0.0
Mali,4,2,0,0,0,4,0,0.2,0.0,0.0
Eswatini,4,0,0,0,0,4,0,3.0,0.0,0.0
Gambia,3,0,1,0,0,2,0,1.0,0.4,33.33
Sudan,3,0,1,0,0,2,0,0.07,0.02,33.33
Zimbabwe,3,0,1,0,0,2,0,0.2,0.07,33.33
Nepal,3,0,0,0,1,2,0,0.1,0.0,0.0
Angola,3,0,0,0,0,3,0,0.09,0.0,0.0
Antigua_and_Barbuda,3,0,0,0,0,3,0,31.0,0.0,0.0
CAR,3,0,0,0,0,3,0,0.6,0.0,0.0
Chad,3,0,0,0,0,3,0,0.2,0.0,0.0
Liberia,3,0,0,0,0,3,0,0.6,0.0,0.0
Mauritania,3,1,0,0,0,3,0,0.6,0.0,0.0
Myanmar,3,0,0,0,0,3,0,0.06,0.0,0.0
St_Barth,3,0,0,0,0,3,0,304.0,0.0,0.0
Saint_Lucia,3,0,0,0,0,3,0,16.0,0.0,0.0
Sint_Maarten,3,0,0,0,0,3,0,70.0,0.0,0.0
Belize,2,0,0,0,0,2,0,5.0,0.0,0.0
Bhutan,2,0,0,0,0,2,0,3.0,0.0,0.0
British_Virgin_Islands,2,0,0,0,0,2,0,66.0,0.0,0.0
Guinea-Bissau,2,0,0,0,0,2,0,1.0,0.0,0.0
Montserrat,2,1,0,0,0,2,0,401.0,0.0,0.0
Nicaragua,2,0,0,0,0,2,0,0.3,0.0,0.0
Saint_Kitts_and_Nevis,2,0,0,0,0,2,0,38.0,0.0,0.0
Somalia,2,1,0,0,0,2,0,0.1,0.0,0.0
Grenada,1,0,0,0,0,1,0,9.0,0.0,0.0
Libya,1,0,0,0,0,1,0,0.1,0.0,0.0
Papua_New_Guinea,1,0,0,0,0,1,0,0.1,0.0,0.0
St_Vincent_Grenadines,1,0,0,0,0,1,0,9.0,0.0,0.0
Timor-Leste,1,0,0,0,0,1,0,0.8,0.0,0.0
Turks_and_Caicos,1,0,0,0,0,1,0,26.0,0.0,0.0
Total,520393,49425,23593,2317,123321,373479,19243,66.8,3.0,4.53
