region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,total_deaths_per_million,mortality_rate
China,81285,67,3287,6,74051,3947,1235,56.0,2.0,4.04
Italy,80589,6203,8215,712,10361,62013,3612,1333.0,136.0,10.19
USA,79082,10871,1143,116,1864,76075,2112,239.0,3.0,1.45
Spain,56197,6682,4145,498,7015,45037,3166,1202.0,89.0,7.38
Germany,43646,6323,239,33,5673,37734,23,521.0,3.0,0.55
Iran,29406,2389,2234,157,10457,16715,2746,350.0,27.0,7.6
France,29155,3922,1696,365,4948,22511,3375,447.0,26.0,5.82
Switzerland,11712,815,191,38,131,11390,141,1353.0,22.0,1.63
UK,11658,2129,578,115,135,10945,163,172.0,9.0,4.96
S_Korea,9241,104,131,5,4144,4966,59,180.0,3.0,1.42
Netherlands,7431,1019,434,78,3,6994,582,434.0,25.0,5.84
Austria,6847,1259,49,18,112,6686,28,760.0,5.0,0.72
Belgium,6235,1298,220,42,675,5340,605,538.0,19.0,3.53
Canada,3897,488,37,1,199,3661,120,103.0,1.0,0.95
Portugal,3544,549,60,17,43,3441,61,348.0,6.0,1.69
Norway,3316,232,14,0,6,3296,70,612.0,3.0,0.42
Sweden,2840,314,71,9,16,2753,176,281.0,7.0,2.5
Australia,2806,130,13,2,170,2623,11,110.0,0.5,0.46
Israel,2666,297,8,3,68,2590,39,308.0,0.9,0.3
Brazil,2611,57,63,4,6,2542,18,12.0,0.3,2.41
Turkey,2433,0,59,0,26,2348,136,29.0,0.7,2.42
Malaysia,2031,235,23,3,215,1793,45,63.0,0.7,1.13
Czechia,1925,271,9,3,10,1906,34,180.0,0.8,0.47
Denmark,1877,153,41,7,1,1835,94,324.0,7.0,2.18
Ireland,1564,0,9,0,5,1550,39,317.0,2.0,0.58
Luxembourg,1453,120,9,1,6,1438,3,2321.0,14.0,0.62
Japan,1399,92,47,2,359,993,57,11.0,0.4,3.36
Ecuador,1382,171,34,5,3,1345,58,78.0,2.0,2.46
Chile,1306,164,4,1,22,1280,7,68.0,0.2,0.31
Pakistan,1179,116,9,1,21,1149,5,5.0,0.04,0.76
Poland,1163,112,14,0,7,1142,3,31.0,0.4,1.2
Thailand,1045,111,4,0,88,953,4,15.0,0.06,0.38
Romania,1029,123,22,5,94,913,29,53.0,1.0,2.14
Saudi_Arabia,1012,112,3,1,33,976,6,29.0,0.09,0.3
Finland,958,78,5,2,10,943,24,173.0,0.9,0.52
South_Africa,927,218,0,0,12,915,2,16.0,0.0,0.0
Indonesia,893,103,78,20,35,780,0,3.0,0.3,8.73
Greece,892,71,26,4,36,830,53,86.0,2.0,2.91
Russia,840,182,3,0,38,799,8,6.0,0.02,0.36
Iceland,802,65,2,0,68,732,11,2350.0,6.0,0.25
India,722,65,16,4,45,661,0,0.5,0.01,2.22
Diamond_Princess,712,0,10,0,597,105,15,0.0,0.0,1.4
Philippines,707,71,45,7,28,634,1,6.0,0.4,6.36
Singapore,683,52,2,0,172,509,17,117.0,0.3,0.29
Peru,580,100,9,0,14,557,14,18.0,0.3,1.55
Slovenia,562,34,6,1,10,546,14,270.0,3.0,1.07
Panama,558,0,8,0,2,548,20,129.0,2.0,1.43
Qatar,549,12,0,0,43,506,6,191.0,0.0,0.0
Estonia,538,134,1,0,8,529,6,406.0,0.8,0.19
Argentina,502,0,8,0,63,431,0,11.0,0.2,1.59
Croatia,495,53,2,1,22,471,14,121.0,0.5,0.4
Dominican_Republic,488,96,10,0,3,475,0,45.0,0.9,2.05
Mexico,475,70,6,1,4,465,1,4.0,0.05,1.26
Colombia,470,0,4,0,8,458,0,9.0,0.08,0.85
Bahrain,458,39,4,0,204,250,1,269.0,2.0,0.87
Serbia,457,73,7,3,15,435,21,52.0,0.8,1.53
Egypt,456,0,21,0,95,340,0,4.0,0.2,4.61
Hong_Kong,453,42,4,0,110,339,5,60.0,0.5,0.88
Iraq,382,36,36,7,105,241,0,9.0,0.9,9.42
Lebanon,368,35,6,0,23,339,3,54.0,0.9,1.63
Algeria,367,65,25,4,29,313,0,8.0,0.6,6.81
UAE,333,0,2,0,52,279,2,34.0,0.2,0.6
Lithuania,290,16,4,0,1,285,1,107.0,1.0,1.38
Armenia,290,25,1,1,18,271,6,98.0,0.3,0.34
New_Zealand,283,0,0,0,27,256,0,59.0,0.0,0.0
Morocco,275,50,10,4,8,257,1,7.0,0.3,3.64
Bulgaria,264,22,3,0,8,253,8,38.0,0.4,1.14
Hungary,261,35,10,0,28,223,6,27.0,1.0,3.83
Taiwan,252,17,2,0,29,221,0,11.0,0.08,0.79
Latvia,244,23,0,0,1,243,0,129.0,0.0,0.0
Costa_Rica,231,30,2,0,2,227,4,45.0,0.4,0.87
Slovakia,226,10,0,0,2,224,2,41.0,0.0,0.0
Andorra,224,36,3,2,1,220,6,2899.0,39.0,1.34
Uruguay,217,0,0,0,0,217,3,62.0,0.0,0.0
Jordan,212,40,0,0,1,211,0,21.0,0.0,0.0
San_Marino,208,0,21,0,4,183,12,6130.0,619.0,10.1
Kuwait,208,13,0,0,49,159,7,49.0,0.0,0.0
North_Macedonia,201,24,3,0,3,195,1,96.0,1.0,1.49
Tunisia,200,27,6,1,2,192,10,17.0,0.5,3.0
Bosnia_and_Herzegovina,189,13,3,0,2,184,1,58.0,0.9,1.59
Moldova,177,28,1,0,2,174,28,44.0,0.2,0.56
Albania,174,28,6,1,17,151,3,60.0,2.0,3.45
Ukraine,162,17,5,0,1,156,0,4.0,0.1,3.09
Vietnam,153,5,0,0,20,133,3,2.0,0.0,0.0
Burkina_Faso,152,6,4,0,10,138,0,7.0,0.2,2.63
Cyprus,146,14,3,0,4,139,3,121.0,2.0,2.05
Faeroe_Islands,140,8,0,0,47,93,0,2865.0,0.0,0.0
Réunion,135,24,0,0,1,134,0,151.0,0.0,0.0
Malta,134,5,0,0,2,132,1,303.0,0.0,0.0
Ghana,132,64,4,0,1,127,0,4.0,0.1,3.03
Azerbaijan,122,29,3,1,15,104,6,12.0,0.3,2.46
Brunei,114,5,0,0,5,109,1,261.0,0.0,0.0
Kazakhstan,111,30,1,1,2,108,0,6.0,0.05,0.9
