region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,total_deaths_per_million,mortality_rate
USA,266279,21402,6803,733,11983,247493,5781,804.0,21.0,2.55
Italy,119827,4585,14681,766,19758,85388,4068,1982.0,243.0,12.25
Spain,117710,5645,10935,587,30513,76262,6416,2518.0,234.0,9.29
Germany,89838,5044,1230,123,24575,64033,3936,1072.0,15.0,1.37
France,64338,5233,6507,1120,14008,43823,6662,986.0,100.0,10.11
Iran,53183,2715,3294,134,17935,31954,4035,633.0,39.0,6.19
UK,38168,4450,3605,684,135,34428,163,562.0,53.0,9.45
Turkey,20921,2786,425,69,484,20012,1251,248.0,5.0,2.03
Switzerland,19606,779,591,55,4846,14169,348,2265.0,68.0,3.01
Belgium,16770,1422,1143,132,2872,12755,1205,1447.0,99.0,6.82
Netherlands,15723,1026,1487,148,250,13986,1182,918.0,87.0,9.46
Canada,11747,464,173,0,1979,9595,120,311.0,5.0,1.47
Austria,11506,377,168,10,2022,9316,245,1278.0,19.0,1.46
S_Korea,10062,86,174,5,6021,3867,55,196.0,3.0,1.73
Portugal,9886,852,246,37,68,9572,245,970.0,24.0,2.49
Brazil,8229,185,343,19,127,7759,296,39.0,2.0,4.17
Israel,7428,571,40,4,338,7050,113,858.0,5.0,0.54
Sweden,6131,563,358,50,205,5568,469,607.0,35.0,5.84
Australia,5350,36,28,3,585,4737,85,210.0,1.0,0.52
Norway,5296,149,58,8,32,5206,96,977.0,11.0,1.1
Ireland,4273,424,120,22,5,4148,109,865.0,24.0,2.81
Russia,4149,601,34,4,281,3834,8,28.0,0.2,0.82
Czechia,4091,233,53,9,72,3966,77,382.0,5.0,1.3
Denmark,3757,371,139,16,1193,2425,153,649.0,24.0,3.7
Chile,3737,333,22,4,427,3288,31,195.0,1.0,0.59
Ecuador,3368,205,145,25,65,3158,100,191.0,8.0,4.31
Malaysia,3333,217,53,3,827,2453,108,103.0,2.0,1.59
Poland,3266,320,65,8,56,3145,50,86.0,2.0,1.99
Romania,3183,445,133,18,283,2767,83,165.0,7.0,4.18
Philippines,3018,385,136,29,52,2830,1,28.0,1.0,4.51
Pakistan,2637,216,40,6,126,2471,10,12.0,0.2,1.52
Japan,2617,0,63,0,514,2040,60,21.0,0.5,2.41
Luxembourg,2612,125,31,1,500,2081,33,4173.0,50.0,1.19
India,2567,24,72,0,192,2303,0,2.0,0.05,2.8
Saudi_Arabia,2039,154,25,4,351,1663,41,59.0,0.7,1.23
Indonesia,1986,196,181,11,134,1671,0,7.0,0.7,9.11
Thailand,1978,103,19,4,612,1347,23,28.0,0.3,0.96
Finland,1615,97,20,1,300,1295,72,291.0,4.0,1.24
Greece,1613,69,59,6,78,1476,92,155.0,6.0,3.66
Peru,1595,181,55,0,537,1003,51,48.0,2.0,3.45
Mexico,1510,132,50,13,633,827,1,12.0,0.4,3.31
South_Africa,1505,43,9,4,95,1401,7,25.0,0.2,0.6
Dominican_Republic,1488,108,68,8,16,1404,147,137.0,6.0,4.57
Serbia,1476,305,39,8,42,1395,81,169.0,4.0,2.64
Panama,1475,0,37,0,10,1428,50,342.0,9.0,2.51
Iceland,1364,45,4,0,309,1051,12,3997.0,12.0,0.29
Argentina,1265,0,39,3,266,960,0,28.0,0.9,3.08
UAE,1264,240,9,1,108,1147,2,128.0,0.9,0.71
Algeria,1171,185,105,19,62,1004,0,27.0,2.0,8.97
Colombia,1161,0,19,0,55,1087,50,23.0,0.4,1.64
Singapore,1114,65,5,1,282,827,24,190.0,0.9,0.45
Croatia,1079,68,8,1,92,979,39,263.0,2.0,0.74
Qatar,1075,126,3,0,93,979,37,373.0,1.0,0.28
Egypt,985,120,66,8,216,703,0,10.0,0.6,6.7
Estonia,961,103,12,1,48,901,16,724.0,9.0,1.25
Ukraine,942,45,23,1,19,900,16,22.0,0.5,2.44
Slovenia,934,37,20,3,70,844,31,449.0,10.0,2.14
New_Zealand,868,71,1,0,103,764,2,180.0,0.2,0.12
Hong_Kong,845,43,4,0,173,668,8,113.0,0.5,0.47
Iraq,820,48,54,0,226,540,0,20.0,1.0,6.59
Morocco,761,53,47,3,56,658,1,21.0,1.0,6.18
Armenia,736,73,7,0,43,686,30,248.0,2.0,0.95
Diamond_Princess,712,0,11,0,619,82,10,0.0,0.0,1.54
Lithuania,696,47,9,0,7,680,11,256.0,3.0,1.29
Bahrain,672,29,4,0,382,286,3,395.0,2.0,0.6
Hungary,623,38,26,5,43,554,17,64.0,3.0,4.17
Moldova,591,86,8,2,26,557,65,147.0,2.0,1.35
Bosnia_and_Herzegovina,579,46,17,1,27,535,4,176.0,5.0,2.94
Lebanon,508,14,17,1,50,441,26,74.0,2.0,3.35
Tunisia,495,40,18,4,5,472,30,42.0,2.0,3.64
Latvia,493,35,1,1,1,491,3,261.0,0.5,0.2
Bulgaria,485,28,14,4,30,441,18,70.0,2.0,2.89
Kazakhstan,464,29,6,3,29,429,6,25.0,0.3,1.29
Slovakia,450,24,1,0,10,439,3,82.0,0.2,0.22
Azerbaijan,443,43,5,0,32,406,7,44.0,0.5,1.13
Andorra,439,11,16,1,16,407,12,5682.0,207.0,3.64
North_Macedonia,430,46,12,1,20,398,8,206.0,6.0,2.79
Kuwait,417,75,0,0,82,335,16,98.0,0.0,0.0
Cyprus,396,40,11,1,28,357,11,328.0,9.0,2.78
Costa_Rica,396,0,2,0,6,388,11,78.0,0.4,0.51
Uruguay,369,19,4,0,68,297,13,106.0,1.0,1.08
Belarus,351,47,4,0,53,294,11,37.0,0.4,1.14
Taiwan,348,9,5,0,50,293,0,15.0,0.2,1.44
Réunion,321,13,0,0,40,281,3,359.0,0.0,0.0
Jordan,310,11,5,0,58,247,5,30.0,0.5,1.61
