region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,total_deaths_per_million,mortality_rate
Cameroon,306,0,7,0,10,289,0,12.0,0.3,2.29
Albania,304,27,17,1,89,198,7,106.0,6.0,5.59
Burkina_Faso,302,14,16,0,50,236,0,14.0,0.8,5.3
Afghanistan,281,8,6,0,10,265,0,7.0,0.2,2.14
Cuba,269,36,6,0,15,248,8,24.0,0.5,2.23
Oman,252,21,1,0,57,194,3,49.0,0.2,0.4
San_Marino,245,0,30,0,21,194,15,7221.0,884.0,12.24
Vietnam,237,4,0,0,85,152,3,2.0,0.0,0.0
Channel_Islands,232,39,4,1,13,215,0,1334.0,23.0,1.72
Uzbekistan,227,22,2,0,25,200,8,7.0,0.06,0.88
Honduras,222,3,15,1,3,204,10,22.0,2.0,6.76
Senegal,207,12,1,0,66,140,1,12.0,0.06,0.48
Ghana,205,1,5,0,31,169,2,7.0,0.2,2.44
Malta,202,6,0,0,2,200,2,457.0,0.0,0.0
Ivory_Coast,194,0,1,0,15,178,0,7.0,0.04,0.52
Palestine,193,32,1,0,21,171,0,38.0,0.2,0.52
Nigeria,190,6,2,0,20,168,0,0.9,0.01,1.05
Mauritius,186,17,7,0,0,179,1,146.0,6.0,3.76
Faeroe_Islands,179,2,0,0,91,88,1,3663.0,0.0,0.0
Montenegro,174,30,2,0,1,171,4,277.0,3.0,1.15
Sri_Lanka,159,8,4,0,24,131,5,7.0,0.2,2.52
Georgia,155,21,0,0,27,128,6,39.0,0.0,0.0
Venezuela,146,0,5,0,43,98,6,5.0,0.2,3.42
Martinique,138,0,3,0,27,108,19,368.0,8.0,2.17
DRC,134,0,13,0,3,118,0,1.0,0.1,9.7
Brunei,134,1,1,0,65,68,3,306.0,2.0,0.75
Bolivia,132,9,9,1,1,122,3,11.0,0.8,6.82
Kyrgyzstan,130,14,1,1,6,123,5,20.0,0.2,0.77
Guadeloupe,128,0,6,0,24,98,14,320.0,15.0,4.69
Kenya,122,12,4,1,4,114,2,2.0,0.07,3.28
Mayotte,116,0,1,0,10,105,3,425.0,4.0,0.86
Isle_of_Man,114,19,1,0,0,113,0,1341.0,12.0,0.88
Cambodia,114,4,0,0,35,79,1,7.0,0.0,0.0
Niger,98,0,5,0,0,93,0,4.0,0.2,5.1
Trinidad_and_Tobago,97,3,6,1,1,90,0,69.0,4.0,6.19
Gibraltar,95,7,0,0,46,49,0,2820.0,0.0,0.0
Paraguay,92,15,3,0,6,83,2,13.0,0.4,3.26
Rwanda,89,5,0,0,0,89,0,7.0,0.0,0.0
Liechtenstein,75,0,0,0,0,75,0,1967.0,0.0,0.0
Guinea,73,21,0,0,2,71,0,6.0,0.0,0.0
Madagascar,70,11,0,0,0,70,6,3.0,0.0,0.0
Monaco,64,4,1,0,3,60,2,1631.0,25.0,1.56
Aruba,62,2,0,0,1,61,0,581.0,0.0,0.0
Bangladesh,61,5,6,0,26,29,1,0.4,0.04,9.84
French_Guiana,57,6,0,0,22,35,1,191.0,0.0,0.0
Barbados,51,5,0,0,0,51,0,177.0,0.0,0.0
Guatemala,50,3,1,0,12,37,1,3.0,0.06,2.0
Djibouti,49,9,0,0,8,41,0,50.0,0.0,0.0
Jamaica,47,0,3,0,2,42,0,16.0,1.0,6.38
El_Salvador,46,5,2,0,0,44,4,7.0,0.3,4.35
Uganda,45,0,0,0,0,45,0,1.0,0.0,0.0
Macao,42,1,0,0,10,32,0,65.0,0.0,0.0
Togo,40,1,3,1,17,20,0,5.0,0.4,7.5
Mali,39,3,3,0,0,36,0,2.0,0.1,7.69
Zambia,39,0,1,0,2,36,0,2.0,0.05,2.56
French_Polynesia,39,2,0,0,0,39,1,139.0,0.0,0.0
Bermuda,35,0,0,0,11,24,0,562.0,0.0,0.0
Ethiopia,35,6,0,0,3,32,2,0.3,0.0,0.0
Cayman_Islands,28,0,1,0,0,27,0,426.0,15.0,3.57
Bahamas,24,0,1,0,1,22,1,61.0,3.0,4.17
Sint_Maarten,23,5,2,1,6,15,0,536.0,47.0,8.7
Congo,22,0,2,0,2,18,0,4.0,0.4,9.09
Saint_Martin,22,0,1,0,2,19,0,569.0,26.0,4.55
Eritrea,22,0,0,0,0,22,0,6.0,0.0,0.0
Gabon,21,0,1,0,1,19,0,9.0,0.4,4.76
Myanmar,20,0,1,0,0,19,0,0.4,0.02,5.0
Tanzania,20,0,1,0,3,16,0,0.3,0.02,5.0
Guyana,19,0,4,0,0,15,0,24.0,5.0,21.05
Maldives,19,0,0,0,13,6,0,35.0,0.0,0.0
Haiti,18,2,0,0,1,17,0,2.0,0.0,0.0
New_Caledonia,18,0,0,0,1,17,0,63.0,0.0,0.0
Syria,16,0,2,0,0,14,0,0.9,0.1,12.5
Benin,16,3,0,0,2,14,0,1.0,0.0,0.0
Equatorial_Guinea,16,1,0,0,1,15,0,11.0,0.0,0.0
Mongolia,14,0,0,0,2,12,0,4.0,0.0,0.0
Namibia,14,0,0,0,3,11,0,6.0,0.0,0.0
Saint_Lucia,13,0,0,0,1,12,0,71.0,0.0,0.0
Dominica,12,0,0,0,0,12,0,167.0,0.0,0.0
Curaçao,11,0,1,0,3,7,0,67.0,6.0,9.09
Libya,11,0,1,0,0,10,0,2.0,0.1,9.09
Sudan,10,2,2,0,2,6,0,0.2,0.05,20.0
Suriname,10,0,1,1,0,9,0,17.0,2.0,10.0
Greenland,10,0,0,0,3,7,0,176.0,0.0,0.0
Grenada,10,0,0,0,0,10,0,89.0,0.0,0.0
Laos,10,0,0,0,0,10,0,1.0,0.0,0.0
Mozambique,10,0,0,0,0,10,0,0.3,0.0,0.0
Seychelles,10,0,0,0,0,10,0,102.0,0.0,0.0
MS_Zaandam,9,0,2,0,0,7,0,0.0,0.0,22.22
Zimbabwe,9,0,1,0,0,8,0,0.6,0.07,11.11
Antigua_and_Barbuda,9,0,0,0,0,9,0,92.0,0.0,0.0
Guinea-Bissau,9,0,0,0,0,9,0,5.0,0.0,0.0
Saint_Kitts_and_Nevis,9,0,0,0,0,9,0,169.0,0.0,0.0
Eswatini,9,0,0,0,0,9,0,8.0,0.0,0.0
Angola,8,0,2,0,1,5,0,0.2,0.06,25.0
CAR,8,5,0,0,0,8,0,2.0,0.0,0.0
Chad,8,0,0,0,0,8,0,0.5,0.0,0.0
Fiji,7,0,0,0,0,7,0,8.0,0.0,0.0
Vatican_City,7,0,0,0,0,7,0,8739.0,0.0,0.0
Liberia,7,1,0,0,0,7,0,1.0,0.0,0.0
Somalia,7,2,0,0,1,6,0,0.4,0.0,0.0
Cabo_Verde,6,0,1,0,0,5,0,11.0,2.0,16.67
Mauritania,6,0,1,0,2,3,0,1.0,0.2,16.67
Nepal,6,0,0,0,1,5,0,0.2,0.0,0.0
St_Barth,6,0,0,0,1,5,0,607.0,0.0,0.0
Nicaragua,5,0,1,0,0,4,0,0.8,0.2,20.0
Bhutan,5,0,0,0,2,3,0,6.0,0.0,0.0
Montserrat,5,0,0,0,0,5,0,1002.0,0.0,0.0
Turks_and_Caicos,5,0,0,0,0,5,0,129.0,0.0,0.0
Botswana,4,0,1,0,0,3,0,2.0,0.4,25.0
Gambia,4,0,1,0,2,1,0,2.0,0.4,25.0
Belize,4,1,0,0,0,4,0,10.0,0.0,0.0
Anguilla,3,0,0,0,0,3,0,200.0,0.0,0.0
British_Virgin_Islands,3,0,0,0,0,3,0,99.0,0.0,0.0
Burundi,3,0,0,0,0,3,0,0.3,0.0,0.0
Malawi,3,0,0,0,0,3,0,0.2,0.0,0.0
St_Vincent_Grenadines,3,1,0,0,1,2,0,27.0,0.0,0.0
Caribbean_Netherlands,2,0,0,0,0,2,0,76.0,0.0,0.0
Sierra_Leone,2,0,0,0,0,2,0,0.3,0.0,0.0
Papua_New_Guinea,1,0,0,0,0,1,0,0.1,0.0,0.0
Timor-Leste,1,0,0,0,0,1,0,0.8,0.0,0.0
China,81620,31,3322,4,76571,1727,379,57.0,2.0,4.07
Total,1081310,66245,58137,4970,227735,795438,39252,138.7,7.5,5.38
