region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,mortality_rate
China,80894,13,3237,11,69614,8043,2622,56.0,4.0
Italy,35713,4207,2978,475,4025,28710,2257,591.0,8.34
Iran,17361,1192,1135,147,5710,10516,0,207.0,6.54
Spain,13910,2084,624,91,1081,12205,563,298.0,4.49
Germany,11979,2612,28,2,86,11865,2,143.0,0.23
France,9134,1404,264,89,602,8268,699,140.0,2.89
S_Korea,8413,93,84,3,1540,6789,59,164.0,1.0
USA,8019,1608,124,15,106,7789,12,24.0,1.55
Switzerland,3076,334,33,6,15,3028,0,355.0,1.07
UK,2626,676,104,33,65,2457,20,39.0,3.96
Netherlands,2051,346,58,15,2,1991,45,120.0,2.83
Austria,1646,314,4,0,9,1633,12,183.0,0.24
Norway,1565,94,6,3,1,1558,27,289.0,0.38
Belgium,1486,243,14,4,31,1441,33,128.0,0.94
Sweden,1292,96,10,2,15,1267,12,128.0,0.77
Denmark,1057,80,4,0,1,1052,24,182.0,0.38
Japan,899,21,29,0,144,726,41,7.0,3.23
Malaysia,790,117,2,0,60,728,15,24.0,0.25
Diamond_Princess,712,0,7,0,456,249,14,0.0,0.98
Canada,648,50,9,1,12,627,1,17.0,1.39
Portugal,642,194,2,1,4,636,18,63.0,0.31
Australia,565,110,6,1,43,516,1,22.0,1.06
Czechia,522,88,0,0,3,519,5,49.0,0.0
Qatar,452,10,0,0,4,448,0,157.0,0.0
Israel,433,96,0,0,11,422,6,50.0,0.0
Greece,418,31,5,0,14,399,13,40.0,1.2
Brazil,372,26,3,2,2,367,18,2.0,0.81
Finland,359,37,0,0,10,349,2,65.0,0.0
Singapore,313,47,0,0,114,199,14,54.0,0.0
Pakistan,296,49,1,1,2,293,0,1.0,0.34
Ireland,292,0,2,0,5,285,6,59.0,0.68
Poland,287,49,5,0,1,281,3,8.0,1.74
Slovenia,286,11,1,0,0,285,4,138.0,0.35
Romania,260,43,0,0,19,241,5,14.0,0.0
Estonia,258,33,0,0,1,257,1,194.0,0.0
Bahrain,255,14,1,0,95,159,3,150.0,0.39
Iceland,250,3,0,0,5,245,1,733.0,0.0
