region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,mortality_rate
Saudi_Arabia,238,67,0,0,6,232,0,7.0,0.0
Chile,238,37,0,0,0,238,3,12.0,0.0
Indonesia,227,55,19,12,11,197,0,0.8,8.37
Thailand,212,35,1,0,41,170,1,3.0,0.47
Luxembourg,203,63,2,1,0,201,1,324.0,0.99
Philippines,202,15,17,3,4,181,1,2.0,8.42
Egypt,196,0,6,0,26,164,0,2.0,3.06
Hong_Kong,181,13,4,0,92,85,4,24.0,2.21
India,168,25,3,0,14,151,0,0.1,1.79
Iraq,164,10,12,1,41,111,0,4.0,7.32
Ecuador,155,44,2,0,0,153,2,9.0,1.29
Russia,147,33,0,0,8,139,0,1.0,0.0
Peru,145,28,0,0,1,144,8,4.0,0.0
Kuwait,142,12,0,0,15,127,4,33.0,0.0
Lebanon,133,9,4,0,4,125,3,19.0,3.01
San_Marino,119,0,11,0,4,104,11,3507.0,9.24
South_Africa,116,31,0,0,0,116,0,2.0,0.0
UAE,113,0,0,0,26,87,2,11.0,0.0
Armenia,110,32,0,0,1,109,2,37.0,0.0
Slovakia,105,8,0,0,0,105,2,19.0,0.0
Taiwan,100,23,1,0,20,79,0,4.0,1.0
Turkey,98,0,1,0,0,97,0,1.0,1.02
Mexico,93,11,0,0,4,89,1,0.7,0.0
Colombia,93,28,0,0,1,92,0,2.0,0.0
Bulgaria,92,11,2,0,0,90,0,13.0,2.17
Serbia,89,17,0,0,1,88,4,10.0,0.0
Croatia,87,18,0,0,5,82,0,21.0,0.0
Panama,86,17,1,0,0,85,7,20.0,1.16
Argentina,79,0,2,0,3,74,1,2.0,2.53
Vietnam,75,9,0,0,16,59,0,0.8,0.0
Algeria,73,12,7,2,10,56,0,2.0,9.59
Latvia,71,11,0,0,1,70,0,38.0,0.0
Brunei,68,12,0,0,0,68,2,155.0,0.0
Albania,59,4,2,1,0,57,2,21.0,3.39
Hungary,58,8,1,0,2,55,4,6.0,1.72
Faeroe_Islands,58,11,0,0,1,57,0,1187.0,0.0
Jordan,56,8,0,0,1,55,0,5.0,0.0
Belarus,51,15,0,0,5,46,0,5.0,0.0
Sri_Lanka,51,7,0,0,3,48,0,2.0,0.0
Costa_Rica,50,0,0,0,0,50,3,10.0,0.0
Uruguay,50,0,0,0,0,50,0,14.0,0.0
Morocco,49,5,2,0,1,46,1,1.0,4.08
Cyprus,49,0,0,0,0,49,1,41.0,0.0
Malta,48,10,0,0,2,46,0,109.0,0.0
Palestine,44,0,0,0,0,44,0,9.0,0.0
Andorra,39,0,0,0,1,38,0,505.0,0.0
Bosnia_and_Herzegovina,39,5,0,0,2,37,0,12.0,0.0
Georgia,38,4,0,0,1,37,1,10.0,0.0
Cambodia,37,4,0,0,1,36,0,2.0,0.0
Moldova,36,6,1,1,1,34,2,9.0,2.78
Senegal,36,9,0,0,2,34,0,2.0,0.0
Kazakhstan,36,3,0,0,0,36,0,2.0,0.0
Venezuela,36,3,0,0,0,36,0,1.0,0.0
North_Macedonia,35,4,0,0,1,34,1,17.0,0.0
Azerbaijan,34,0,1,0,6,27,0,3.0,2.94
Lithuania,33,7,0,0,1,32,1,12.0,0.0
Oman,33,0,0,0,12,21,0,6.0,0.0
Tunisia,29,2,0,0,1,28,2,2.0,0.0
Guadeloupe,27,9,0,0,0,27,0,67.0,0.0
Afghanistan,22,0,0,0,1,21,0,0.6,0.0
Dominican_Republic,21,0,1,0,0,20,0,2.0,4.76
Burkina_Faso,20,5,1,1,0,19,0,1.0,5.0
New_Zealand,20,0,0,0,0,20,0,4.0,0.0
Martinique,19,4,1,0,0,18,0,51.0,5.26
Liechtenstein,19,0,0,0,0,19,0,498.0,0.0
Macao,17,4,0,0,10,7,0,26.0,0.0
Uzbekistan,15,4,0,0,0,15,0,0.4,0.0
Ukraine,14,0,2,0,0,12,0,0.3,14.29
Bangladesh,14,4,1,1,3,10,0,0.09,7.14
Jamaica,13,0,0,0,2,11,0,4.0,0.0
Maldives,13,0,0,0,0,13,0,24.0,0.0
Bolivia,12,0,0,0,0,12,0,1.0,0.0
Réunion,12,3,0,0,0,12,0,13.0,0.0
French_Guiana,11,0,0,0,0,11,0,37.0,0.0
Paraguay,11,2,0,0,0,11,1,2.0,0.0
Rwanda,11,4,0,0,0,11,0,0.8,0.0
Cameroon,10,0,0,0,0,10,0,0.4,0.0
Cuba,10,3,0,0,0,10,0,0.9,0.0
Monaco,9,0,0,0,0,9,0,229.0,0.0
Honduras,9,1,0,0,0,9,0,0.9,0.0
Guatemala,8,0,1,0,0,7,0,0.4,12.5
Nigeria,8,5,0,0,1,7,0,0.04,0.0
Gibraltar,8,5,0,0,2,6,0,237.0,0.0
Guam,8,3,0,0,0,8,0,47.0,0.0
DRC,7,4,0,0,0,7,0,0.08,0.0
Ghana,7,0,0,0,0,7,0,0.2,0.0
Kenya,7,3,0,0,0,7,0,0.1,0.0
Trinidad_and_Tobago,7,2,0,0,0,7,0,5.0,0.0
Channel_Islands,6,0,0,0,0,6,0,35.0,0.0
Ivory_Coast,6,2,0,0,1,5,0,0.2,0.0
Ethiopia,6,0,0,0,0,6,0,0.05,0.0
Mongolia,6,1,0,0,0,6,0,2.0,0.0
Seychelles,6,2,0,0,0,6,0,61.0,0.0
Puerto_Rico,5,0,0,0,0,5,0,2.0,0.0
Guyana,4,0,1,0,0,3,0,5.0,25.0
Aruba,4,1,0,0,0,4,0,37.0,0.0
Equatorial_Guinea,4,3,0,0,0,4,0,3.0,0.0
Curaçao,3,0,0,0,0,3,0,18.0,0.0
French_Polynesia,3,0,0,0,0,3,0,11.0,0.0
Gabon,3,0,0,0,0,3,0,1.0,0.0
Kyrgyzstan,3,3,0,0,0,3,0,0.5,0.0
Mauritius,3,3,0,0,0,3,0,2.0,0.0
Mayotte,3,0,0,0,0,3,0,11.0,0.0
St_Barth,3,0,0,0,0,3,0,304.0,0.0
Saint_Martin,3,1,0,0,0,3,0,78.0,0.0
Tanzania,3,2,0,0,0,3,0,0.05,0.0
Sudan,2,1,1,0,0,1,0,0.05,50.0
Barbados,2,0,0,0,0,2,0,7.0,0.0
Benin,2,1,0,0,0,2,0,0.2,0.0
Greenland,2,1,0,0,0,2,0,35.0,0.0
Liberia,2,0,0,0,0,2,0,0.4,0.0
Mauritania,2,1,0,0,0,2,0,0.4,0.0
Montenegro,2,0,0,0,0,2,0,3.0,0.0
Namibia,2,0,0,0,0,2,0,0.8,0.0
New_Caledonia,2,2,0,0,0,2,0,7.0,0.0
Saint_Lucia,2,0,0,0,0,2,0,11.0,0.0
US_Virgin_Islands,2,0,0,0,0,2,0,19.0,0.0
Zambia,2,2,0,0,0,2,0,0.1,0.0
Cayman_Islands,1,0,1,0,0,0,0,15.0,100.0
Nepal,1,0,0,0,1,0,0,0.03,0.0
Antigua_and_Barbuda,1,0,0,0,0,1,0,10.0,0.0
Bahamas,1,0,0,0,0,1,0,3.0,0.0
Bhutan,1,0,0,0,0,1,0,1.0,0.0
CAR,1,0,0,0,0,1,0,0.2,0.0
Congo,1,0,0,0,0,1,0,0.2,0.0
Djibouti,1,1,0,0,0,1,0,1.0,0.0
Gambia,1,0,0,0,0,1,0,0.4,0.0
Guinea,1,0,0,0,0,1,0,0.08,0.0
Vatican_City,1,0,0,0,0,1,0,1248.0,0.0
Montserrat,1,1,0,0,0,1,0,200.0,0.0
St_Vincent_Grenadines,1,0,0,0,0,1,0,9.0,0.0
Somalia,1,0,0,0,0,1,0,0.06,0.0
Suriname,1,0,0,0,0,1,0,2.0,0.0
Eswatini,1,0,0,0,0,1,0,0.9,0.0
Togo,1,0,0,0,0,1,0,0.1,0.0
Total,215537,17319,8892,925,84328,122317,6636,27.7,4.13
