region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,total_deaths_per_million,mortality_rate
China,81340,55,3292,5,74588,3460,1034,57.0,2.0,4.05
USA,96968,11533,1477,182,2453,93038,2463,293.0,4.0,1.52
Italy,86498,5909,9134,919,10950,66414,3732,1431.0,151.0,10.56
Spain,64059,6273,4934,569,9357,49768,4165,1370.0,106.0,7.7
Germany,50178,6240,321,54,6658,43199,23,599.0,4.0,0.64
France,32964,3809,1995,299,5700,25269,3787,505.0,31.0,6.05
Iran,32332,2926,2378,144,11133,18821,2893,385.0,28.0,7.35
UK,14543,2885,759,181,135,13649,163,214.0,11.0,5.22
Switzerland,12928,1117,231,39,1530,11167,203,1494.0,27.0,1.79
S_Korea,9332,91,139,8,4528,4665,59,182.0,3.0,1.49
Netherlands,8603,1172,546,112,3,8054,761,502.0,32.0,6.35
Austria,7642,733,58,9,225,7359,128,849.0,6.0,0.76
Belgium,7284,1049,289,69,858,6137,690,628.0,25.0,3.97
Turkey,5698,2069,92,17,42,5564,241,68.0,1.0,1.61
Canada,4610,567,53,14,228,4329,120,122.0,1.0,1.15
Portugal,4268,724,76,16,43,4149,71,419.0,7.0,1.78
Norway,3717,345,19,5,6,3692,70,686.0,4.0,0.51
Australia,3180,130,13,0,170,2997,23,125.0,0.5,0.41
Sweden,3046,206,92,15,16,2938,214,302.0,9.0,3.02
Israel,3035,342,12,4,79,2944,49,351.0,1.0,0.4
Brazil,3027,42,77,0,6,2944,296,14.0,0.4,2.54
Czechia,2279,354,9,0,11,2259,34,213.0,0.8,0.39
Malaysia,2161,130,26,3,259,1876,54,67.0,0.8,1.2
Denmark,2046,169,52,11,1,1993,109,353.0,9.0,2.54
Ireland,1819,0,19,0,5,1795,47,368.0,4.0,1.04
Chile,1610,304,5,1,43,1562,7,84.0,0.3,0.31
Luxembourg,1605,152,15,6,40,1550,25,2564.0,24.0,0.93
Ecuador,1595,192,36,2,3,1556,58,90.0,2.0,2.26
Japan,1387,0,47,0,359,981,57,11.0,0.4,3.39
Poland,1340,119,16,0,7,1317,3,35.0,0.4,1.19
Pakistan,1331,130,9,0,23,1299,7,6.0,0.04,0.68
Romania,1292,263,26,3,115,1151,32,67.0,1.0,2.01
South_Africa,1170,243,2,2,12,1156,7,20.0,0.03,0.17
Thailand,1136,91,5,1,97,1034,11,16.0,0.07,0.44
Saudi_Arabia,1104,92,3,0,35,1066,6,32.0,0.09,0.27
Indonesia,1046,153,87,9,46,913,0,4.0,0.3,8.32
Finland,1041,83,7,2,10,1024,32,188.0,1.0,0.67
Russia,1036,196,3,0,45,988,8,7.0,0.02,0.29
Greece,966,74,28,1,52,886,66,93.0,3.0,2.9
Iceland,890,88,2,0,97,791,18,2608.0,6.0,0.22
India,887,160,20,0,73,794,0,0.6,0.01,2.25
