region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,total_deaths_per_million,mortality_rate
USA,235747,20744,5624,522,10324,219799,5421,712.0,17.0,2.39
Italy,115242,4668,13915,760,18278,83049,4053,1906.0,230.0,12.07
Spain,110238,6120,10096,709,26743,73399,6092,2358.0,216.0,9.16
Germany,84415,6434,1090,159,21400,61925,3936,1008.0,13.0,1.29
France,59105,2116,4503,471,12428,42174,6399,905.0,69.0,7.62
Iran,50468,2875,3160,124,16711,30597,3956,601.0,38.0,6.26
UK,33718,4244,2921,569,135,30662,163,497.0,43.0,8.66
Switzerland,18827,1059,536,48,4013,14278,348,2175.0,62.0,2.85
Turkey,18135,2456,356,79,415,17364,1101,215.0,4.0,1.96
Belgium,15348,1384,1011,183,2495,11842,1144,1324.0,87.0,6.59
Netherlands,14697,1083,1339,166,250,13108,1053,858.0,78.0,9.11
Canada,11108,1377,134,20,1906,9068,120,294.0,4.0,1.21
Austria,11106,395,158,12,1749,9199,227,1233.0,18.0,1.42
S_Korea,9976,89,169,4,5828,3979,55,195.0,3.0,1.69
Portugal,9034,783,209,22,68,8757,230,886.0,20.0,2.31
Brazil,7910,1030,299,57,127,7484,296,37.0,1.0,3.78
Israel,6857,765,34,8,289,6534,107,792.0,4.0,0.5
Sweden,5466,519,282,43,103,5081,429,541.0,28.0,5.16
Australia,5139,91,27,4,345,4767,50,202.0,1.0,0.53
Norway,5131,254,50,6,32,5049,96,946.0,9.0,0.97
Ireland,3849,402,98,13,5,3746,109,779.0,20.0,2.55
Czechia,3805,216,44,5,67,3694,72,355.0,4.0,1.16
Russia,3548,771,30,6,235,3283,8,24.0,0.2,0.85
Chile,3404,373,18,2,335,3051,31,178.0,0.9,0.53
Denmark,3386,279,123,19,1089,2174,153,585.0,21.0,3.63
Ecuador,3163,405,120,22,58,2985,100,179.0,7.0,3.79
Malaysia,3116,208,50,5,767,2299,105,96.0,2.0,1.6
Romania,2738,278,114,22,267,2357,78,142.0,6.0,4.16
Poland,2692,138,51,8,56,2585,50,71.0,1.0,1.89
Philippines,2633,322,107,11,51,2475,1,24.0,1.0,4.06
India,2536,538,72,14,189,2275,0,2.0,0.05,2.84
Luxembourg,2487,168,30,1,80,2377,31,3973.0,48.0,1.21
Pakistan,2386,268,33,6,107,2246,9,11.0,0.1,1.38
Japan,2384,0,57,0,472,1855,69,19.0,0.5,2.39
