region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,total_deaths_per_million,mortality_rate
Saudi_Arabia,1885,165,21,5,328,1536,31,54.0,0.6,1.11
Thailand,1875,104,15,3,505,1355,23,27.0,0.2,0.8
Indonesia,1790,113,170,13,112,1508,0,7.0,0.6,9.5
Greece,1544,129,53,2,61,1430,91,148.0,5.0,3.43
Finland,1518,72,19,2,300,1199,65,274.0,3.0,1.25
South_Africa,1462,82,5,0,50,1407,7,25.0,0.08,0.34
Peru,1414,91,47,9,394,973,49,43.0,1.0,3.32
Dominican_Republic,1380,96,60,3,16,1304,147,127.0,6.0,4.35
Mexico,1378,163,37,8,35,1306,1,11.0,0.3,2.69
Iceland,1319,99,4,2,284,1031,12,3865.0,12.0,0.3
Panama,1317,0,32,0,9,1276,50,305.0,7.0,2.43
Serbia,1171,111,31,3,42,1098,81,134.0,4.0,2.65
Colombia,1161,96,19,2,55,1087,50,23.0,0.4,1.64
Argentina,1133,0,34,2,256,843,0,25.0,0.8,3.0
Singapore,1049,49,4,1,266,779,24,179.0,0.7,0.38
UAE,1024,210,8,0,96,920,2,104.0,0.8,0.78
Croatia,1011,48,7,1,88,916,34,246.0,2.0,0.69
Algeria,986,139,86,28,61,839,0,22.0,2.0,8.72
Qatar,949,114,3,1,72,874,37,329.0,1.0,0.32
Slovenia,897,56,17,2,70,810,31,431.0,8.0,1.9
Estonia,858,79,11,6,45,802,16,647.0,8.0,1.28
Egypt,850,71,52,0,179,619,0,8.0,0.5,6.12
Ukraine,804,10,20,0,13,771,0,18.0,0.5,2.49
Hong_Kong,802,36,4,0,154,644,8,107.0,0.5,0.5
New_Zealand,797,89,1,0,92,704,2,165.0,0.2,0.13
Iraq,772,44,54,2,202,516,0,19.0,1.0,6.99
Diamond_Princess,712,0,11,0,619,82,15,0.0,0.0,1.54
Morocco,691,37,44,5,30,617,1,19.0,1.0,6.37
Armenia,663,92,5,1,33,625,30,224.0,2.0,0.75
Lithuania,649,68,9,1,7,633,11,238.0,3.0,1.39
Bahrain,643,74,4,0,381,258,3,378.0,2.0,0.62
Hungary,585,60,21,1,42,522,17,61.0,2.0,3.59
Bosnia_and_Herzegovina,532,73,16,3,20,496,4,162.0,5.0,3.01
Moldova,505,82,6,1,23,476,65,125.0,1.0,1.19
Lebanon,494,15,16,2,46,432,3,72.0,2.0,3.24
Latvia,458,12,0,0,31,427,3,243.0,0.0,0.0
Bulgaria,457,35,10,0,25,422,18,66.0,1.0,2.19
Tunisia,455,32,14,2,5,436,10,38.0,1.0,3.08
Kazakhstan,435,55,3,0,27,405,6,23.0,0.2,0.69
Andorra,428,38,15,1,10,403,12,5539.0,194.0,3.5
Slovakia,426,26,1,0,5,420,3,78.0,0.2,0.23
Azerbaijan,400,41,5,0,26,369,7,39.0,0.5,1.25
North_Macedonia,384,30,11,0,17,356,4,184.0,5.0,2.86
Costa_Rica,375,0,2,0,4,369,9,74.0,0.4,0.53
Cyprus,356,36,10,1,28,318,11,295.0,8.0,2.81
Uruguay,350,0,4,2,62,284,15,101.0,1.0,1.14
Kuwait,342,25,0,0,81,261,15,80.0,0.0,0.0
Taiwan,339,10,5,0,50,284,0,14.0,0.2,1.47
Réunion,308,27,0,0,40,268,3,344.0,0.0,0.0
Belarus,304,141,4,2,53,247,11,32.0,0.4,1.32
Jordan,299,21,5,0,45,249,5,29.0,0.5,1.67
Burkina_Faso,288,6,16,0,50,222,0,14.0,0.8,5.56
Cameroon,284,51,7,1,10,267,0,11.0,0.3,2.46
Albania,277,18,16,1,67,194,7,96.0,6.0,5.78
Afghanistan,258,21,4,0,10,244,0,7.0,0.1,1.55
San_Marino,245,9,30,2,21,194,15,7221.0,884.0,12.24
Cuba,233,21,6,0,13,214,7,21.0,0.5,2.58
Oman,231,21,1,0,57,173,3,45.0,0.2,0.43
Vietnam,227,9,0,0,75,152,3,2.0,0.0,0.0
Honduras,219,47,14,4,3,202,4,22.0,1.0,6.39
Uzbekistan,205,24,2,0,25,178,8,6.0,0.06,0.98
Ghana,204,9,5,0,31,168,2,7.0,0.2,2.45
Malta,196,8,0,0,2,194,2,444.0,0.0,0.0
Senegal,195,5,1,0,55,139,0,12.0,0.06,0.51
Channel_Islands,193,21,3,0,0,190,0,1110.0,17.0,1.55
Ivory_Coast,190,0,1,0,9,180,0,7.0,0.04,0.53
Faeroe_Islands,177,4,0,0,81,96,1,3622.0,0.0,0.0
Nigeria,174,0,2,0,9,163,0,0.8,0.01,1.15
Mauritius,169,8,7,1,0,162,1,133.0,6.0,4.14
Palestine,160,26,1,0,18,141,0,31.0,0.2,0.62
Sri_Lanka,151,5,4,1,21,126,5,7.0,0.2,2.65
Venezuela,144,0,3,0,43,98,6,5.0,0.1,2.08
Montenegro,144,21,2,0,0,142,4,229.0,3.0,1.39
Martinique,135,0,3,0,27,105,16,360.0,8.0,2.22
Georgia,134,17,0,0,26,108,6,34.0,0.0,0.0
Brunei,133,2,1,0,56,76,3,304.0,2.0,0.75
Guadeloupe,128,3,6,0,24,98,14,320.0,15.0,4.69
DRC,123,14,11,2,3,109,0,1.0,0.1,8.94
Bolivia,123,8,8,1,1,114,3,11.0,0.7,6.5
Mayotte,116,15,1,0,10,105,3,425.0,4.0,0.86
Kyrgyzstan,116,5,0,0,5,111,5,18.0,0.0,0.0
Kenya,110,29,3,2,4,103,2,2.0,0.06,2.73
Cambodia,110,1,0,0,34,76,1,7.0,0.0,0.0
Isle_of_Man,95,27,1,0,0,94,0,1117.0,12.0,1.05
Trinidad_and_Tobago,90,0,5,0,1,84,0,64.0,4.0,5.56
Gibraltar,88,7,0,0,46,42,0,2612.0,0.0,0.0
Rwanda,84,2,0,0,0,84,0,6.0,0.0,0.0
Paraguay,77,8,3,0,2,72,4,11.0,0.4,3.9
Liechtenstein,75,3,0,0,0,75,0,1967.0,0.0,0.0
Niger,74,0,5,0,0,69,0,3.0,0.2,6.76
Monaco,60,5,1,0,2,57,2,1529.0,25.0,1.67
Aruba,60,5,0,0,1,59,0,562.0,0.0,0.0
Madagascar,59,2,0,0,0,59,6,2.0,0.0,0.0
Bangladesh,56,2,6,0,25,25,1,0.3,0.04,10.71
Guinea,52,22,0,0,0,52,0,4.0,0.0,0.0
French_Guiana,51,0,0,0,15,36,0,171.0,0.0,0.0
Guatemala,47,8,1,0,12,34,1,3.0,0.06,2.13
Barbados,45,0,0,0,0,45,0,157.0,0.0,0.0
Uganda,45,1,0,0,0,45,0,1.0,0.0,0.0
Jamaica,44,0,3,0,2,39,0,15.0,1.0,6.82
El_Salvador,41,8,2,0,0,39,4,6.0,0.3,4.88
Macao,41,0,0,0,10,31,0,63.0,0.0,0.0
Djibouti,40,7,0,0,0,40,0,40.0,0.0,0.0
Togo,39,3,2,0,17,20,0,5.0,0.2,5.13
Zambia,39,3,1,1,0,38,0,2.0,0.05,2.56
French_Polynesia,37,0,0,0,0,37,1,132.0,0.0,0.0
Mali,36,5,3,0,0,33,0,2.0,0.1,8.33
Bermuda,32,0,0,0,10,22,0,514.0,0.0,0.0
Ethiopia,29,0,0,0,3,26,2,0.3,0.0,0.0
Congo,22,0,2,0,2,18,0,4.0,0.4,9.09
Cayman_Islands,22,0,1,0,0,21,0,335.0,15.0,4.55
Saint_Martin,22,0,1,0,2,19,0,569.0,26.0,4.55
Eritrea,22,7,0,0,0,22,0,6.0,0.0,0.0
Bahamas,21,0,1,0,1,19,0,53.0,3.0,4.76
Myanmar,20,4,1,0,0,19,0,0.4,0.02,5.0
Tanzania,20,0,1,0,2,17,0,0.3,0.02,5.0
Guyana,19,0,4,1,0,15,0,24.0,5.0,21.05
Maldives,19,0,0,0,13,6,0,35.0,0.0,0.0
Gabon,18,0,1,0,0,17,0,8.0,0.4,5.56
New_Caledonia,18,2,0,0,1,17,0,63.0,0.0,0.0
Syria,16,6,2,0,0,14,0,0.9,0.1,12.5
Sint_Maarten,16,0,1,0,6,9,0,373.0,23.0,6.25
Haiti,16,0,0,0,1,15,0,1.0,0.0,0.0
Equatorial_Guinea,15,0,0,0,1,14,0,11.0,0.0,0.0
Mongolia,14,0,0,0,2,12,0,4.0,0.0,0.0
Namibia,14,0,0,0,2,12,0,6.0,0.0,0.0
Benin,13,0,0,0,1,12,0,1.0,0.0,0.0
Saint_Lucia,13,0,0,0,1,12,0,71.0,0.0,0.0
Dominica,12,0,0,0,0,12,0,167.0,0.0,0.0
Curaçao,11,0,1,0,3,7,0,67.0,6.0,9.09
Greenland,10,0,0,0,2,8,0,176.0,0.0,0.0
Grenada,10,1,0,0,0,10,0,89.0,0.0,0.0
Laos,10,0,0,0,0,10,0,1.0,0.0,0.0
Libya,10,0,0,0,0,10,0,1.0,0.0,0.0
Mozambique,10,0,0,0,0,10,0,0.3,0.0,0.0
Seychelles,10,0,0,0,0,10,0,102.0,0.0,0.0
Suriname,10,0,0,0,0,10,0,17.0,0.0,0.0
MS_Zaandam,9,0,2,0,0,7,0,0.0,0.0,22.22
Antigua_and_Barbuda,9,2,0,0,0,9,0,92.0,0.0,0.0
Guinea-Bissau,9,0,0,0,0,9,0,5.0,0.0,0.0
Eswatini,9,0,0,0,0,9,0,8.0,0.0,0.0
Angola,8,0,2,0,1,5,0,0.2,0.06,25.0
Sudan,8,1,2,0,2,4,0,0.2,0.05,25.0
Zimbabwe,8,0,1,0,0,7,0,0.5,0.07,12.5
Saint_Kitts_and_Nevis,8,0,0,0,0,8,0,150.0,0.0,0.0
Chad,7,0,0,0,0,7,0,0.4,0.0,0.0
Fiji,7,2,0,0,0,7,0,8.0,0.0,0.0
Cabo_Verde,6,0,1,0,0,5,0,11.0,2.0,16.67
Mauritania,6,0,1,0,2,3,0,1.0,0.2,16.67
Nepal,6,1,0,0,1,5,0,0.2,0.0,0.0
Vatican_City,6,0,0,0,0,6,0,7491.0,0.0,0.0
Liberia,6,0,0,0,0,6,0,1.0,0.0,0.0
St_Barth,6,0,0,0,1,5,0,607.0,0.0,0.0
Turks_and_Caicos,6,0,0,0,0,6,0,155.0,0.0,0.0
Nicaragua,5,0,1,0,0,4,0,0.8,0.2,20.0
Bhutan,5,1,0,0,1,4,0,6.0,0.0,0.0
Montserrat,5,0,0,0,0,5,0,1002.0,0.0,0.0
Somalia,5,0,0,0,1,4,0,0.3,0.0,0.0
Botswana,4,0,1,0,0,3,0,2.0,0.4,25.0
Gambia,4,0,1,0,2,1,0,2.0,0.4,25.0
Anguilla,3,1,0,0,0,3,0,200.0,0.0,0.0
Belize,3,0,0,0,0,3,0,8.0,0.0,0.0
British_Virgin_Islands,3,0,0,0,0,3,0,99.0,0.0,0.0
Burundi,3,1,0,0,0,3,0,0.3,0.0,0.0
CAR,3,0,0,0,0,3,0,0.6,0.0,0.0
Malawi,3,3,0,0,0,3,0,0.2,0.0,0.0
Caribbean_Netherlands,2,0,0,0,0,2,0,76.0,0.0,0.0
St_Vincent_Grenadines,2,0,0,0,1,1,0,18.0,0.0,0.0
Sierra_Leone,2,0,0,0,0,2,0,0.3,0.0,0.0
Papua_New_Guinea,1,0,0,0,0,1,0,0.1,0.0,0.0
Timor-Leste,1,0,0,0,0,1,0,0.8,0.0,0.0
China,81589,35,3318,6,76408,1863,429,57.0,2.0,4.07
Total,1001958,66761,51432,4240,210308,740218,37705,128.5,6.6,5.13
