region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,mortality_rate
Algeria,139,45,15,4,65,59,0,3.0,10.79
Latvia,124,13,0,0,1,123,0,66.0,0.0
Costa_Rica,113,0,2,0,2,109,2,22.0,1.77
Dominican_Republic,112,40,3,1,0,109,0,10.0,2.68
Uruguay,110,0,0,0,0,110,0,32.0,0.0
Hungary,103,18,4,0,7,92,6,11.0,3.88
Vietnam,94,3,0,0,17,77,2,1.0,0.0
Bosnia_and_Herzegovina,93,4,1,1,2,90,1,28.0,1.08
Faeroe_Islands,92,12,0,0,3,89,0,1883.0,0.0
Andorra,88,13,0,0,1,87,2,1139.0,0.0
Morocco,86,0,3,0,2,81,1,2.0,3.49
Jordan,85,0,0,0,1,84,0,8.0,0.0
North_Macedonia,85,9,0,0,1,84,1,41.0,0.0
Cyprus,84,9,0,0,0,84,1,70.0,0.0
Lithuania,83,14,1,0,1,81,1,30.0,1.2
Brunei,83,5,0,0,1,82,2,190.0,0.0
Moldova,80,14,1,0,1,78,3,20.0,1.25
Sri_Lanka,77,4,0,0,3,74,2,4.0,0.0
Albania,76,6,2,0,2,72,2,26.0,2.63
Belarus,76,7,0,0,15,61,0,8.0,0.0
Malta,73,9,0,0,2,71,1,165.0,0.0
Venezuela,65,0,0,0,1,64,0,2.0,0.0
Burkina_Faso,64,24,3,2,5,56,0,3.0,4.69
Tunisia,60,6,1,0,1,58,7,5.0,1.67
Azerbaijan,53,9,1,0,11,41,0,5.0,1.89
Cambodia,53,2,0,0,2,51,0,3.0,0.0
Kazakhstan,53,1,0,0,0,53,0,3.0,0.0
New_Zealand,52,0,0,0,0,52,0,11.0,0.0
Oman,52,4,0,0,13,39,0,10.0,0.0
Palestine,52,4,0,0,17,35,0,10.0,0.0
Guadeloupe,51,0,1,0,0,50,4,127.0,1.96
Georgia,49,5,0,0,1,48,1,12.0,0.0
Trinidad_and_Tobago,49,40,0,0,0,49,0,35.0,0.0
Senegal,47,0,0,0,5,42,0,3.0,0.0
Réunion,45,7,0,0,0,45,0,50.0,0.0
Ukraine,41,0,3,0,1,37,0,0.9,7.32
Uzbekistan,41,8,0,0,0,41,0,1.0,0.0
Liechtenstein,37,9,0,0,0,37,0,970.0,0.0
Martinique,32,0,1,0,0,31,7,85.0,3.12
Cameroon,27,0,0,0,2,25,0,1.0,0.0
Bangladesh,24,4,2,1,3,19,0,0.1,8.33
Afghanistan,24,0,0,0,1,23,0,0.6,0.0
Honduras,24,0,0,0,0,24,0,2.0,0.0
DRC,23,5,0,0,0,23,0,0.3,0.0
Nigeria,22,10,0,0,1,21,0,0.1,0.0
Cuba,21,0,1,0,0,20,0,2.0,4.76
Jamaica,19,0,1,0,2,16,0,6.0,5.26
Bolivia,19,3,0,0,0,19,0,2.0,0.0
Ghana,19,3,0,0,0,19,0,0.6,0.0
Paraguay,18,0,1,1,0,17,1,3.0,5.56
Macao,18,1,0,0,10,8,0,28.0,0.0
French_Guiana,18,3,0,0,0,18,0,60.0,0.0
Guatemala,17,5,1,0,0,16,0,0.9,5.88
Puerto_Rico,17,3,0,0,0,17,0,6.0,0.0
Rwanda,17,0,0,0,0,17,0,1.0,0.0
Togo,16,7,0,0,0,16,0,2.0,0.0
French_Polynesia,15,4,0,0,0,15,0,53.0,0.0
Guam,15,1,0,0,0,15,0,89.0,0.0
Mauritius,14,2,1,1,0,13,0,11.0,7.14
Channel_Islands,14,2,0,0,0,14,0,81.0,0.0
Ivory_Coast,14,5,0,0,1,13,0,0.5,0.0
Kyrgyzstan,14,8,0,0,0,14,0,2.0,0.0
Montenegro,14,0,0,0,0,14,0,22.0,0.0
Maldives,13,0,0,0,3,10,0,24.0,0.0
Monaco,11,0,0,0,0,11,0,280.0,0.0
Gibraltar,10,0,0,0,2,8,0,297.0,0.0
Mongolia,10,4,0,0,0,10,0,3.0,0.0
Ethiopia,9,0,0,0,0,9,0,0.08,0.0
Kenya,7,0,0,0,0,7,0,0.1,0.0
Mayotte,7,0,0,0,0,7,0,26.0,0.0
Seychelles,7,0,0,0,0,7,0,71.0,0.0
Barbados,6,0,0,0,0,6,0,21.0,0.0
Equatorial_Guinea,6,0,0,0,0,6,0,4.0,0.0
Tanzania,6,0,0,0,0,6,0,0.1,0.0
US_Virgin_Islands,6,3,0,0,0,6,0,57.0,0.0
Guyana,5,0,1,0,0,4,0,6.0,20.0
Aruba,5,0,0,0,1,4,0,47.0,0.0
Gabon,4,0,1,0,0,3,0,2.0,25.0
Bahamas,4,0,0,0,0,4,0,10.0,0.0
New_Caledonia,4,2,0,0,0,4,0,14.0,0.0
Saint_Martin,4,0,0,0,0,4,0,103.0,0.0
Suriname,4,0,0,0,0,4,0,7.0,0.0
Cayman_Islands,3,0,1,0,0,2,0,46.0,33.33
Curaçao,3,0,1,0,0,2,0,18.0,33.33
Cabo_Verde,3,2,0,0,0,3,0,5.0,0.0
CAR,3,0,0,0,0,3,0,0.6,0.0
Congo,3,0,0,0,0,3,0,0.5,0.0
El_Salvador,3,2,0,0,0,3,0,0.5,0.0
Liberia,3,1,0,0,0,3,0,0.6,0.0
Madagascar,3,0,0,0,0,3,0,0.1,0.0
Namibia,3,0,0,0,0,3,0,1.0,0.0
St_Barth,3,0,0,0,0,3,0,304.0,0.0
Zimbabwe,3,2,0,0,0,3,0,0.2,0.0
Sudan,2,0,1,0,0,1,0,0.05,50.0
Angola,2,1,0,0,0,2,0,0.06,0.0
Benin,2,0,0,0,0,2,0,0.2,0.0
Bermuda,2,0,0,0,0,2,0,32.0,0.0
Bhutan,2,0,0,0,0,2,0,3.0,0.0
Fiji,2,1,0,0,0,2,0,2.0,0.0
Greenland,2,0,0,0,0,2,0,35.0,0.0
Guinea,2,0,0,0,0,2,0,0.2,0.0
Haiti,2,0,0,0,0,2,0,0.2,0.0
Isle_of_Man,2,0,0,0,0,2,0,24.0,0.0
Mauritania,2,0,0,0,0,2,0,0.4,0.0
Nicaragua,2,0,0,0,0,2,0,0.3,0.0
Saint_Lucia,2,0,0,0,0,2,0,11.0,0.0
Zambia,2,0,0,0,0,2,0,0.1,0.0
Nepal,1,0,0,0,1,0,0,0.03,0.0
Antigua_and_Barbuda,1,0,0,0,0,1,0,10.0,0.0
Chad,1,0,0,0,0,1,0,0.06,0.0
Djibouti,1,0,0,0,0,1,0,1.0,0.0
Gambia,1,0,0,0,0,1,0,0.4,0.0
Vatican_City,1,0,0,0,0,1,0,1248.0,0.0
Montserrat,1,0,0,0,0,1,0,200.0,0.0
Niger,1,0,0,0,0,1,0,0.04,0.0
Papua_New_Guinea,1,0,0,0,0,1,0,0.1,0.0
St_Vincent_Grenadines,1,0,0,0,0,1,0,9.0,0.0
Sint_Maarten,1,0,0,0,0,1,0,23.0,0.0
Somalia,1,0,0,0,0,1,0,0.06,0.0
Eswatini,1,0,0,0,0,1,0,0.9,0.0
Timor-Leste,1,1,0,0,0,1,0,0.8,0.0
Total,301630,26083,12955,1575,94625,194050,9369,38.7,4.29
