region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,total_deaths_per_million,mortality_rate
Moldova,864,112,15,3,30,819,80,214.0,4.0,1.74
Armenia,822,52,7,0,57,758,30,277.0,2.0,0.85
Lithuania,811,40,13,2,7,791,11,298.0,5.0,1.6
Hungary,733,55,34,2,66,633,17,76.0,4.0,4.64
Diamond_Princess,712,0,11,0,619,82,10,0.0,0.0,1.54
Bahrain,698,10,4,0,427,267,3,410.0,2.0,0.57
Bosnia_and_Herzegovina,654,30,23,2,30,601,4,199.0,7.0,3.52
Azerbaijan,584,63,7,2,32,545,17,58.0,0.7,1.2
Kazakhstan,584,53,6,1,42,536,6,31.0,0.3,1.03
Tunisia,574,21,22,4,5,547,39,49.0,2.0,3.83
Belarus,562,122,8,3,52,502,11,59.0,0.8,1.42
Kuwait,556,77,1,0,99,456,17,130.0,0.2,0.18
North_Macedonia,555,72,18,1,23,514,15,266.0,9.0,3.24
Cameroon,555,0,9,0,17,529,0,21.0,0.3,1.62
Latvia,533,24,1,0,1,531,4,283.0,0.5,0.19
Bulgaria,531,28,20,3,37,474,22,76.0,3.0,3.77
Lebanon,527,7,18,1,54,455,28,77.0,3.0,3.42
Andorra,501,35,18,1,26,457,12,6484.0,233.0,3.59
Slovakia,485,14,1,0,10,474,3,89.0,0.2,0.21
Cyprus,446,20,9,0,37,400,11,369.0,7.0,2.02
Costa_Rica,435,0,2,0,13,420,13,85.0,0.4,0.46
Uruguay,400,0,5,0,93,302,13,115.0,1.0,1.25
Taiwan,363,8,5,0,54,304,0,15.0,0.2,1.38
Albania,361,28,20,0,104,237,7,125.0,7.0,5.54
Afghanistan,349,40,7,0,15,327,0,9.0,0.2,2.01
Burkina_Faso,345,27,17,1,90,238,0,17.0,0.8,4.93
Jordan,345,22,5,0,110,230,5,34.0,0.5,1.45
Réunion,344,10,0,0,40,304,4,384.0,0.0,0.0
Cuba,320,32,8,2,15,297,11,28.0,0.7,2.5
Uzbekistan,310,44,2,0,30,278,8,9.0,0.06,0.65
Oman,298,21,2,0,61,235,3,58.0,0.4,0.67
Channel_Islands,280,18,6,1,27,247,0,1610.0,35.0,2.14
Honduras,268,4,22,7,6,240,10,27.0,2.0,8.21
San_Marino,266,7,32,0,35,199,14,7839.0,943.0,12.03
Ivory_Coast,245,0,1,0,25,219,0,9.0,0.04,0.41
Vietnam,241,1,0,0,90,151,3,2.0,0.0,0.0
Palestine,234,17,1,0,23,210,0,46.0,0.2,0.43
Mauritius,227,31,7,0,7,213,1,178.0,6.0,3.08
Malta,227,14,0,0,5,222,3,514.0,0.0,0.0
Nigeria,224,10,5,1,27,192,2,1.0,0.02,2.23
Senegal,222,3,2,0,82,138,1,13.0,0.1,0.9
Ghana,214,9,5,0,31,178,2,7.0,0.2,2.34
Montenegro,214,13,2,0,1,211,4,341.0,3.0,0.93
Faeroe_Islands,181,0,0,0,99,82,1,3704.0,0.0,0.0
Sri_Lanka,176,10,5,0,33,138,5,8.0,0.2,2.84
Georgia,174,12,2,1,36,136,6,44.0,0.5,1.15
Venezuela,159,4,7,0,52,100,6,6.0,0.2,4.4
Bolivia,157,18,10,0,2,145,3,13.0,0.9,6.37
DRC,154,0,18,0,3,133,0,2.0,0.2,11.69
Martinique,149,4,4,1,50,95,21,397.0,11.0,2.68
Kyrgyzstan,147,3,1,0,9,137,5,23.0,0.2,0.68
Niger,144,0,8,0,0,136,0,6.0,0.3,5.56
Kenya,142,16,4,0,4,134,2,3.0,0.07,2.82
Brunei,135,0,1,0,73,61,3,309.0,2.0,0.74
Guadeloupe,134,0,7,0,24,103,14,335.0,17.0,5.22
Mayotte,134,0,2,0,14,118,3,491.0,7.0,1.49
Isle_of_Man,127,1,1,0,0,126,0,1494.0,12.0,0.79
Guinea,121,10,0,0,5,116,0,9.0,0.0,0.0
Cambodia,114,0,0,0,50,64,1,7.0,0.0,0.0
Trinidad_and_Tobago,104,1,7,1,1,96,0,74.0,5.0,6.73
Paraguay,104,8,3,0,12,89,2,15.0,0.4,2.88
Rwanda,104,2,0,0,4,100,0,8.0,0.0,0.0
Gibraltar,103,5,0,0,52,51,0,3057.0,0.0,0.0
Bangladesh,88,18,9,1,33,46,1,0.5,0.05,10.23
Liechtenstein,77,0,1,0,0,76,0,2020.0,26.0,1.3
Monaco,73,7,1,0,3,69,2,1860.0,25.0,1.37
Madagascar,72,2,0,0,2,70,6,3.0,0.0,0.0
Aruba,64,0,0,0,1,63,0,599.0,0.0,0.0
El_Salvador,62,6,3,0,2,57,4,10.0,0.5,4.84
Guatemala,61,0,2,0,15,44,1,3.0,0.1,3.28
French_Guiana,61,0,0,0,22,39,1,204.0,0.0,0.0
Djibouti,59,9,0,0,9,50,0,60.0,0.0,0.0
Barbados,56,4,1,1,6,49,4,195.0,3.0,1.79
Jamaica,55,2,3,0,7,45,0,19.0,1.0,5.45
Uganda,48,0,0,0,0,48,0,1.0,0.0,0.0
Congo,45,23,5,3,2,38,0,8.0,0.9,11.11
Mali,45,4,5,2,1,39,0,2.0,0.2,11.11
Togo,44,3,3,0,20,21,0,5.0,0.4,6.82
Macao,44,0,0,0,10,34,0,68.0,0.0,0.0
Ethiopia,43,5,2,2,4,37,1,0.4,0.02,4.65
French_Polynesia,41,1,0,0,0,41,1,146.0,0.0,0.0
Zambia,39,0,1,0,3,35,0,2.0,0.05,2.56
Bermuda,37,0,0,0,14,23,0,594.0,0.0,0.0
Cayman_Islands,35,0,1,0,1,33,0,533.0,15.0,2.86
Saint_Martin,29,5,2,0,7,20,6,750.0,52.0,6.9
Eritrea,29,0,0,0,0,29,0,8.0,0.0,0.0
Bahamas,28,0,4,0,0,24,1,71.0,10.0,14.29
Sint_Maarten,25,2,4,0,6,15,0,583.0,93.0,16.0
Guyana,24,1,4,0,0,20,0,31.0,5.0,16.67
Benin,22,6,0,0,5,17,0,2.0,0.0,0.0
Gabon,21,0,1,0,1,19,0,9.0,0.4,4.76
Haiti,21,1,1,1,1,19,0,2.0,0.09,4.76
Myanmar,21,0,1,0,0,20,0,0.4,0.02,4.76
Tanzania,20,0,1,0,3,16,0,0.3,0.02,5.0
Syria,19,3,2,0,2,15,0,1.0,0.1,10.53
Maldives,19,0,0,0,13,6,0,35.0,0.0,0.0
Libya,18,0,1,0,0,17,0,3.0,0.1,5.56
Guinea-Bissau,18,0,0,0,0,18,0,9.0,0.0,0.0
New_Caledonia,17,0,0,0,1,16,0,60.0,0.0,0.0
Equatorial_Guinea,16,0,0,0,1,15,0,11.0,0.0,0.0
Namibia,16,2,0,0,3,13,0,6.0,0.0,0.0
Antigua_and_Barbuda,15,0,0,0,0,15,1,153.0,0.0,0.0
Dominica,14,0,0,0,0,14,0,194.0,0.0,0.0
Mongolia,14,0,0,0,2,12,0,4.0,0.0,0.0
Saint_Lucia,14,0,0,0,1,13,0,76.0,0.0,0.0
Liberia,13,3,3,2,3,7,0,3.0,0.6,23.08
Sudan,12,2,2,0,2,8,0,0.3,0.05,16.67
Fiji,12,0,0,0,0,12,0,13.0,0.0,0.0
Grenada,12,0,0,0,0,12,2,107.0,0.0,0.0
Curaçao,11,0,1,0,5,5,0,67.0,6.0,9.09
Greenland,11,0,0,0,3,8,0,194.0,0.0,0.0
Laos,11,1,0,0,0,11,0,2.0,0.0,0.0
Angola,10,0,2,0,2,6,0,0.3,0.06,20.0
Suriname,10,0,1,0,0,9,0,17.0,2.0,10.0
Mozambique,10,0,0,0,1,9,0,0.3,0.0,0.0
Saint_Kitts_and_Nevis,10,1,0,0,0,10,0,188.0,0.0,0.0
Seychelles,10,0,0,0,0,10,0,102.0,0.0,0.0
MS_Zaandam,9,0,2,0,0,7,0,0.0,0.0,22.22
Zimbabwe,9,0,1,0,0,8,0,0.6,0.07,11.11
Nepal,9,0,0,0,1,8,0,0.3,0.0,0.0
Chad,9,0,0,0,0,9,0,0.5,0.0,0.0
Eswatini,9,0,0,0,0,9,0,8.0,0.0,0.0
CAR,8,0,0,0,0,8,0,2.0,0.0,0.0
Cabo_Verde,7,0,1,0,0,6,0,13.0,2.0,14.29
Vatican_City,7,0,0,0,0,7,0,8739.0,0.0,0.0
St_Vincent_Grenadines,7,0,0,0,1,6,0,63.0,0.0,0.0
Somalia,7,0,0,0,1,6,0,0.4,0.0,0.0
Botswana,6,2,1,0,0,5,0,3.0,0.4,16.67
Mauritania,6,0,1,0,2,3,0,1.0,0.2,16.67
Nicaragua,6,1,1,0,0,5,0,0.9,0.2,16.67
Montserrat,6,0,0,0,0,6,0,1202.0,0.0,0.0
St_Barth,6,0,0,0,1,5,0,607.0,0.0,0.0
Sierra_Leone,6,2,0,0,0,6,0,0.8,0.0,0.0
Turks_and_Caicos,5,0,1,1,0,4,0,129.0,26.0,20.0
Belize,5,1,0,0,0,5,1,13.0,0.0,0.0
Bhutan,5,0,0,0,2,3,0,6.0,0.0,0.0
Gambia,4,0,1,0,2,1,0,2.0,0.4,25.0
Malawi,4,0,0,0,0,4,0,0.2,0.0,0.0
Western_Sahara,4,0,0,0,0,4,0,7.0,0.0,0.0
Anguilla,3,0,0,0,0,3,0,200.0,0.0,0.0
British_Virgin_Islands,3,0,0,0,0,3,0,99.0,0.0,0.0
Burundi,3,0,0,0,0,3,0,0.3,0.0,0.0
Caribbean_Netherlands,2,0,0,0,0,2,0,76.0,0.0,0.0
Falkland_Islands,2,1,0,0,0,2,0,575.0,0.0,0.0
Papua_New_Guinea,1,0,0,0,0,1,0,0.1,0.0,0.0
Saint_Pierre_Miquelon,1,1,0,0,0,1,0,173.0,0.0,0.0
South_Sudan,1,1,0,0,0,1,0,0.09,0.0,0.0
Timor-Leste,1,0,0,0,0,1,0,0.8,0.0,0.0
China,81669,30,3329,3,76964,1376,295,57.0,2.0,4.08
Total,1259691,58238,68387,3699,259637,931667,45424,161.6,8.8,5.43
