region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,total_deaths_per_million,mortality_rate
World,1259691,58238,68387,3699,259637,931667,45424,162.0,8.8,5.43
USA,330155,18798,9442,990,16705,304008,8542,997.0,29.0,2.86
Spain,130759,4591,12418,471,38080,80261,6861,2797.0,266.0,9.5
Italy,128948,4316,15887,525,21815,91246,3977,2133.0,263.0,12.32
Germany,99964,3872,1573,129,28700,69691,3936,1193.0,19.0,1.57
France,89953,0,7560,0,15438,66955,6838,1378.0,116.0,8.4
Iran,58226,2483,3603,151,19736,34887,4103,693.0,43.0,6.19
UK,47806,5903,4934,621,135,42737,1559,704.0,73.0,10.32
Turkey,27069,3135,574,73,1042,25453,1381,321.0,7.0,2.12
Switzerland,21100,595,685,19,6415,14000,391,2438.0,79.0,3.25
Belgium,19691,1260,1447,164,3751,14493,1261,1699.0,125.0,7.35
Netherlands,17851,1224,1766,115,250,15835,1360,1042.0,103.0,9.89
Canada,15416,1504,277,46,2613,12526,426,408.0,7.0,1.8
Austria,12051,270,204,18,2998,8849,244,1338.0,23.0,1.69
Portugal,11278,754,295,29,75,10908,267,1106.0,29.0,2.62
Brazil,10568,208,455,10,127,9986,296,50.0,2.0,4.31
S_Korea,10237,81,183,6,6463,3591,55,200.0,4.0,1.79
Israel,8430,579,49,5,477,7904,139,974.0,6.0,0.58
Sweden,6830,387,401,28,205,6224,541,676.0,40.0,5.87
Norway,5687,137,71,9,32,5584,89,1049.0,13.0,1.25
Australia,5687,137,35,5,2315,3337,91,223.0,1.0,0.62
Russia,5389,658,45,2,355,4989,8,37.0,0.3,0.84
Ireland,4994,390,158,21,25,4811,165,1011.0,32.0,3.16
Czechia,4543,71,67,8,96,4380,86,424.0,6.0,1.47
Chile,4471,310,34,7,618,3819,307,234.0,2.0,0.76
Denmark,4369,292,179,18,1327,2863,142,754.0,31.0,4.1
Poland,4102,475,94,15,134,3874,50,108.0,2.0,2.29
Romania,3864,251,151,5,374,3339,141,201.0,8.0,3.91
Malaysia,3662,179,61,4,1005,2596,99,113.0,2.0,1.67
Ecuador,3646,181,180,8,100,3366,100,207.0,10.0,4.94
India,3588,0,99,0,229,3260,0,3.0,0.07,2.76
Philippines,3246,152,152,8,64,3030,1,30.0,1.0,4.68
Japan,3139,0,77,0,514,2548,64,25.0,0.6,2.45
Pakistan,3123,305,45,4,208,2870,18,14.0,0.2,1.44
Luxembourg,2804,75,36,5,500,2268,33,4479.0,58.0,1.28
Saudi_Arabia,2385,206,34,5,488,1863,41,69.0,1.0,1.43
Peru,2281,535,83,10,989,1209,81,69.0,3.0,3.64
Indonesia,2273,181,198,7,164,1911,0,8.0,0.7,8.71
Thailand,2169,102,23,3,793,1353,23,31.0,0.3,1.06
Finland,1927,45,28,3,300,1599,73,348.0,5.0,1.45
Serbia,1908,284,51,7,54,1803,98,218.0,6.0,2.67
Mexico,1890,202,79,19,633,1178,1,15.0,0.6,4.18
Panama,1801,0,46,0,13,1742,75,417.0,11.0,2.55
UAE,1798,293,10,0,144,1644,1,182.0,1.0,0.56
Dominican_Republic,1745,167,82,5,17,1646,147,161.0,8.0,4.7
Greece,1735,62,73,5,78,1584,93,166.0,7.0,4.21
Qatar,1604,279,4,1,123,1477,37,557.0,1.0,0.25
South_Africa,1585,0,9,0,95,1481,7,27.0,0.2,0.57
Iceland,1486,69,4,0,428,1054,11,4355.0,12.0,0.27
Colombia,1485,79,35,3,88,1362,50,29.0,0.7,2.36
Argentina,1451,0,44,1,280,1127,86,32.0,1.0,3.03
Algeria,1320,69,152,22,90,1078,46,30.0,3.0,11.52
Singapore,1309,120,6,0,320,983,25,224.0,1.0,0.46
Ukraine,1251,26,32,0,25,1194,16,29.0,0.7,2.56
Croatia,1182,56,15,3,125,1042,39,288.0,4.0,1.27
Egypt,1173,103,78,7,247,848,0,11.0,0.8,6.65
Estonia,1097,58,15,2,62,1020,17,827.0,11.0,1.37
New_Zealand,1039,89,1,0,156,882,3,215.0,0.2,0.1
Slovenia,997,20,28,6,79,890,31,480.0,13.0,2.81
Morocco,990,71,69,10,71,850,1,27.0,2.0,6.97
Iraq,961,83,61,5,279,621,0,24.0,2.0,6.35
Hong_Kong,890,28,4,0,206,680,8,119.0,0.5,0.45
