region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,total_deaths_per_million,mortality_rate
Malta,169,13,0,0,2,167,2,383.0,0.0,0.0
Ivory_Coast,168,0,1,0,6,161,0,6.0,0.04,0.6
Ghana,161,9,5,0,31,125,1,5.0,0.2,3.11
Belarus,152,0,1,1,47,104,2,16.0,0.1,0.66
Mauritius,143,15,5,2,0,138,1,112.0,4.0,3.5
Sri_Lanka,143,21,2,0,17,124,5,7.0,0.09,1.4
Honduras,141,2,7,0,3,131,4,14.0,0.7,4.96
Channel_Islands,141,0,3,1,0,138,0,811.0,17.0,2.13
Venezuela,135,0,3,0,39,93,6,5.0,0.1,2.22
Nigeria,135,4,2,0,8,125,0,0.7,0.01,1.48
Brunei,129,2,1,0,45,83,3,295.0,2.0,0.78
Martinique,128,35,3,2,27,98,15,341.0,8.0,2.34
Palestine,117,0,1,0,18,98,0,23.0,0.2,0.85
Guadeloupe,114,8,4,0,22,88,14,285.0,10.0,3.51
Georgia,110,7,0,0,21,89,6,28.0,0.0,0.0
Montenegro,109,18,2,1,0,107,1,174.0,3.0,1.83
Cambodia,109,2,0,0,23,86,1,7.0,0.0,0.0
Bolivia,107,10,6,2,0,101,3,9.0,0.5,5.61
Kyrgyzstan,107,13,0,0,3,104,0,16.0,0.0,0.0
DRC,98,17,8,0,2,88,0,1.0,0.09,8.16
Mayotte,94,12,1,1,10,83,3,345.0,4.0,1.06
Trinidad_and_Tobago,85,2,3,0,1,81,0,61.0,2.0,3.53
Rwanda,75,5,0,0,0,75,0,6.0,0.0,0.0
Gibraltar,69,0,0,0,34,35,0,2048.0,0.0,0.0
Liechtenstein,68,6,0,0,0,68,0,1783.0,0.0,0.0
Paraguay,65,1,3,0,1,61,3,9.0,0.4,4.62
Isle_of_Man,60,11,0,0,0,60,0,706.0,0.0,0.0
Kenya,59,9,1,0,1,57,2,1.0,0.02,1.69
Madagascar,57,14,0,0,0,57,6,2.0,0.0,0.0
Aruba,55,5,0,0,1,54,0,515.0,0.0,0.0
Monaco,52,3,1,0,2,49,0,1325.0,25.0,1.92
Bangladesh,51,2,5,0,25,21,1,0.3,0.03,9.8
Uganda,44,11,0,0,0,44,0,1.0,0.0,0.0
French_Guiana,43,0,0,0,6,37,0,144.0,0.0,0.0
Macao,41,3,0,0,10,31,0,63.0,0.0,0.0
Guatemala,36,0,1,0,10,25,1,2.0,0.06,2.78
Jamaica,36,0,1,0,2,33,0,12.0,0.3,2.78
French_Polynesia,36,0,0,0,0,36,2,128.0,0.0,0.0
Zambia,35,0,0,0,0,35,0,2.0,0.0,0.0
Togo,34,4,1,0,10,23,0,4.0,0.1,2.94
Barbados,34,1,0,0,0,34,0,118.0,0.0,0.0
El_Salvador,32,2,0,0,0,32,5,5.0,0.0,0.0
Djibouti,30,12,0,0,0,30,0,30.0,0.0,0.0
Mali,28,3,2,0,0,26,0,1.0,0.1,7.14
Niger,27,0,3,0,0,24,0,1.0,0.1,11.11
Bermuda,27,0,0,0,10,17,0,434.0,0.0,0.0
Ethiopia,26,3,0,0,2,24,2,0.2,0.0,0.0
Guinea,22,0,0,0,0,22,0,2.0,0.0,0.0
Tanzania,19,0,1,1,1,17,0,0.3,0.02,5.26
Congo,19,0,0,0,0,19,0,3.0,0.0,0.0
Maldives,18,1,0,0,13,5,0,33.0,0.0,0.0
Gabon,16,9,1,0,0,15,0,7.0,0.4,6.25
New_Caledonia,16,1,0,0,0,16,0,56.0,0.0,0.0
Myanmar,15,1,1,1,0,14,0,0.3,0.02,6.67
Saint_Martin,15,0,1,0,2,12,0,388.0,26.0,6.67
Eritrea,15,0,0,0,0,15,0,4.0,0.0,0.0
Haiti,15,0,0,0,1,14,0,1.0,0.0,0.0
Bahamas,14,0,0,0,1,13,0,36.0,0.0,0.0
Guyana,12,4,2,1,0,10,0,15.0,3.0,16.67
