region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,mortality_rate
China,81218,47,3281,4,73650,4287,1399,56.0,4.04
Italy,74386,5210,7503,683,9362,57521,3489,1230.0,10.09
USA,62505,7649,880,100,387,61238,1382,189.0,1.41
Spain,47610,5552,3434,443,5367,38809,2636,1018.0,7.21
Germany,37098,4107,205,46,3547,33346,23,443.0,0.55
Iran,27017,2206,2077,143,9625,15315,0,322.0,7.69
France,25233,2929,1331,231,3900,20002,2827,387.0,5.27
Switzerland,10897,1020,153,31,131,10613,141,1259.0,1.4
S_Korea,9137,100,126,6,3730,5281,59,178.0,1.38
UK,8264,187,435,13,135,7694,20,122.0,5.26
Netherlands,6412,852,356,80,3,6053,582,374.0,5.55
Austria,5588,305,30,2,9,5549,28,620.0,0.54
Belgium,4937,668,178,56,547,4212,474,426.0,3.61
Canada,3290,498,30,4,185,3075,1,87.0,0.91
Norway,3052,186,14,2,6,3032,57,563.0,0.46
Portugal,2995,633,43,10,22,2930,61,294.0,1.44
Sweden,2526,227,44,4,16,2466,158,250.0,1.74
Australia,2431,114,9,1,118,2304,11,95.0,0.37
Israel,2369,439,5,2,58,2306,37,274.0,0.21
Brazil,2274,27,47,1,2,2225,18,11.0,2.07
Turkey,1872,0,44,0,26,1802,136,22.0,2.35
Malaysia,1796,172,20,4,199,1577,64,55.0,1.11
Denmark,1724,133,34,2,1,1689,69,298.0,1.97
Czechia,1654,260,6,3,10,1638,19,154.0,0.36
Luxembourg,1333,234,8,0,6,1319,3,2129.0,0.6
Ireland,1329,0,7,0,5,1317,29,269.0,0.53
Japan,1307,114,45,2,310,952,57,10.0,3.44
Ecuador,1173,91,28,1,3,1142,2,66.0,2.39
Chile,1142,220,3,1,22,1117,7,60.0,0.26
Poland,1031,130,14,4,2,1015,3,27.0,1.36
Pakistan,1022,50,8,1,21,993,5,5.0,0.78
Thailand,934,107,4,0,70,860,11,13.0,0.43
Romania,906,112,14,2,86,806,18,47.0,1.55
Saudi_Arabia,900,133,2,1,29,869,0,26.0,0.22
Finland,880,88,3,2,10,867,22,159.0,0.34
Greece,821,78,22,2,36,763,53,79.0,2.68
Indonesia,790,104,58,3,31,701,0,3.0,7.34
Iceland,737,89,2,0,56,679,11,2160.0,0.27
Diamond_Princess,712,0,10,0,587,115,15,0.0,1.4
South_Africa,709,155,0,0,12,697,2,12.0,0.0
Russia,658,163,3,2,29,626,8,5.0,0.46
Philippines,636,84,38,3,26,572,1,6.0,5.97
Singapore,631,73,2,0,160,469,17,108.0,0.32
India,606,70,11,1,42,553,0,0.4,1.82
Qatar,537,11,0,0,41,496,6,186.0,0.0
Slovenia,528,48,5,1,10,513,14,254.0,0.95
Peru,480,64,9,2,1,470,9,15.0,1.88
Panama,443,0,8,2,1,434,33,103.0,1.81
Egypt,442,40,21,1,93,328,0,4.0,4.75
Croatia,442,60,1,0,22,419,6,108.0,0.23
Bahrain,419,27,4,1,177,238,2,246.0,0.95
Hong_Kong,410,23,4,0,102,304,4,55.0,0.98
Mexico,405,38,5,1,4,396,1,3.0,1.23
Estonia,404,35,1,1,8,395,5,305.0,0.25
Dominican_Republic,392,80,10,4,3,379,0,36.0,2.55
Argentina,387,0,8,2,52,327,0,9.0,2.07
Serbia,384,81,4,1,15,365,21,44.0,1.04
Colombia,378,0,3,0,6,369,0,7.0,0.79
Iraq,346,30,29,2,103,214,0,9.0,8.38
Lebanon,333,15,4,0,8,321,4,49.0,1.2
UAE,333,85,2,0,52,279,2,34.0,0.6
Algeria,302,38,21,2,65,216,0,7.0,6.95
Armenia,265,16,0,0,16,249,6,89.0,0.0
Lithuania,255,46,4,2,1,250,1,94.0,1.57
Bulgaria,242,24,3,0,4,235,8,35.0,1.24
Taiwan,235,19,2,0,29,204,0,10.0,0.85
Hungary,226,39,10,1,21,195,6,23.0,4.42
Morocco,225,55,6,1,7,212,1,6.0,2.67
Latvia,221,24,0,0,1,220,0,117.0,0.0
Slovakia,216,12,0,0,7,209,2,40.0,0.0
New_Zealand,205,0,0,0,22,183,0,43.0,0.0
Kuwait,195,4,0,0,43,152,6,46.0,0.0
Uruguay,189,0,0,0,0,189,3,54.0,0.0
Andorra,188,24,1,0,1,186,6,2433.0,0.53
San_Marino,187,0,21,0,4,162,12,5511.0,11.23
North_Macedonia,177,29,3,1,1,173,1,85.0,1.69
Costa_Rica,177,0,2,0,2,173,4,35.0,1.13
Tunisia,173,59,5,1,2,166,11,15.0,2.89
Bosnia_and_Herzegovina,173,5,3,0,2,168,1,53.0,1.73
Jordan,172,18,0,0,1,171,0,17.0,0.0
Moldova,149,24,1,0,2,146,20,37.0,0.67
Albania,146,23,5,0,17,124,3,51.0,3.42
Vietnam,141,7,0,0,17,124,3,1.0,0.0
Cyprus,132,8,3,0,3,126,3,109.0,2.27
